,-122.59169,1.301919071E9,776110,776759
776662,45.595753,-122.59153,1.301919071E9,776110,776759
776662,45.595695,-122.591354,1.301919071E9,776110,776759
776662,45.59563,-122.59119,1.301919071E9,776110,776759
776662,45.59557,-122.591,1.301919071E9,776110,776759
776662,45.59552,-122.59086,1.301919071E9,776110,776759
776662,45.595463,-122.5907,1.301919071E9,776110,776759
776662,45.595394,-122.59055,1.301919071E9,776110,776759
776662,45.59532,-122.590416,1.301919071E9,776110,776759
776662,45.59526,-122.59026,1.301919071E9,776110,776759
776662,45.595184,-122.59014,1.301919071E9,776110,776759
776662,45.59512,-122.590004,1.301919071E9,776110,776759
776662,45.595062,-122.58983,1.301919071E9,776110,776759
776662,45.59501,-122.58967,1.301919071E9,776110,776759
776662,45.59496,-122.589455,1.301919071E9,776110,776759
776662,45.5949,-122.58931,1.301919071E9,776110,776759
776662,45.594837,-122.58916,1.301919071E9,776110,776759
776662,45.594784,-122.589005,1.301919071E9,776110,776759
776662,45.59474,-122.588844,1.301919071E9,776110,776759
776662,45.594704,-122.58865,1.301919071E9,776110,776759
776662,45.594643,-122.58849,1.301919071E9,776110,776759
776662,45.594593,-122.5883,1.301919071E9,776110,776759
776662,45.594547,-122.5881,1.301919071E9,776110,776759
776662,45.594524,-122.5879,1.301919071E9,776110,776759
776662,45.594444,-122.587746,1.301919071E9,776110,776759
776662,45.59439,-122.58756,1.301919071E9,776110,776759
776662,45.59433,-122.587395,1.301919071E9,776110,776759
776662,45.59426,-122.58724,1.301919071E9,776110,776759
776662,45.5942,-122.58704,1.301919071E9,776110,776759
776662,45.594124,-122.58686,1.301919071E9,776110,776759
776662,45.594044,-122.58671,1.301919071E9,776110,776759
776662,45.593975,-122.58655,1.301919071E9,776110,776759
776662,45.593914,-122.58639,1.301919071E9,776110,776759
776662,45.593864,-122.58619,1.301919071E9,776110,776759
776662,45.593792,-122.58606,1.301919071E9,776110,776759
776662,45.59373,-122.58591,1.301919071E9,776110,776759
776662,45.593662,-122.58579,1.301919071E9,776110,776759
776662,45.593605,-122.58564,1.301919071E9,776110,776759
