,-156.6842,1.301919071E9,776110,776759
776662,20.96337,-156.68115,1.301919071E9,776110,776759
776662,20.963318,-156.68117,1.301919071E9,776110,776759
776662,20.963263,-156.68117,1.301919071E9,776110,776759
776662,20.963205,-156.68118,1.301919071E9,776110,776759
776662,20.96315,-156.6812,1.301919071E9,776110,776759
776662,20.963097,-156.68121,1.301919071E9,776110,776759
776662,20.963043,-156.68123,1.301919071E9,776110,776759
776662,20.962992,-156.68126,1.301919071E9,776110,776759
776662,20.962938,-156.68127,1.301919071E9,776110,776759
776662,20.962885,-156.68129,1.301919071E9,776110,776759
776662,20.962826,-156.6813,1.301919071E9,776110,776759
776662,20.962767,-156.68132,1.301919071E9,776110,776759
776662,20.962706,-156.68135,1.301919071E9,776110,776759
776662,20.962645,-156.68137,1.301919071E9,776110,776759
776662,20.962582,-156.68138,1.301919071E9,776110,776759
776662,20.962517,-156.68141,1.301919071E9,776110,776759
776662,20.962452,-156.68143,1.301919071E9,776110,776759
776662,20.962317,-156.68146,1.301919071E9,776110,776759
776662,20.962248,-156.68149,1.301919071E9,776110,776759
776662,20.962177,-156.6815,1.301919071E9,776110,776759
776662,20.962109,-156.68152,1.301919071E9,776110,776759
776662,20.962036,-156.68153,1.301919071E9,776110,776759
776662,20.961966,-156.68155,1.301919071E9,776110,776759
776662,20.961895,-156.68156,1.301919071E9,776110,776759
776662,20.961823,-156.68158,1.301919071E9,776110,776759
776662,20.961678,-156.68163,1.301919071E9,776110,776759
776662,20.961605,-156.68164,1.301919071E9,776110,776759
776662,20.961454,-156.68167,1.301919071E9,776110,776759
776662,20.961304,-156.6817,1.301919071E9,776110,776759
776662,20.961151,-156.68173,1.301919071E9,776110,776759
