36,-87.80098,1.301919071E9,776110,776759
776662,41.883297,-87.80059,1.301919071E9,776110,776759
776662,41.88332,-87.80022,1.301919071E9,776110,776759
776662,41.88332,-87.79984,1.301919071E9,776110,776759
776662,41.88332,-87.79948,1.301919071E9,776110,776759
776662,41.8833,-87.79918,1.301919071E9,776110,776759
776662,41.883327,-87.79906,1.301919071E9,776110,776759
776662,41.88335,-87.79893,1.301919071E9,776110,776759
776662,41.88336,-87.79876,1.301919071E9,776110,776759
776662,41.883377,-87.798615,1.301919071E9,776110,776759
776662,41.883377,-87.79843,1.301919071E9,776110,776759
776662,41.883408,-87.79802,1.301919071E9,776110,776759
776662,41.8834,-87.79765,1.301919071E9,776110,776759
776662,41.883408,-87.79728,1.301919071E9,776110,776759
776662,41.883423,-87.79714,1.301919071E9,776110,776759
776662,41.883427,-87.79698,1.301919071E9,776110,776759
776662,41.883423,-87.796844,1.301919071E9,776110,776759
776662,41.883423,-87.79669,1.301919071E9,776110,776759
776662,41.883427,-87.79656,1.301919071E9,776110,776759
776662,41.88345,-87.79641,1.301919071E9,776110,776759
776662,41.88345,-87.796265,1.301919071E9,776110,776759
776662,41.883442,-87.796135,1.301919071E9,776110,776759
776662,41.883434,-87.79577,1.301919071E9,776110,776759
776662,41.883442,-87.79563,1.301919071E9,776110,776759
776662,41.883434,-87.79551,1.301919071E9,776110,776759
776662,41.883434,-87.79523,1.301919071E9,776110,776759
776662,41.88343,-87.7951,1.301919071E9,776110,776759
776662,41.883427,-87.79497,1.301919071E9,776110,776759
776662,41.88341,-87.79456,1.301919071E9,776110,776759
776662,41.88368,-87.79441,1.301919071E9,776110,776759
776662,41.884026,-87.79448,1.301919071E9,776110,776759
776662,41.884026,-87.79448,1.301919071E9,776110,776759
776662,41.88367,-87.79439,1.301919071E9,776110,776759
776662,41.88367,-87.79436,1.301919071E9,776110,776759
776662,41.88346,-87.79435,1.301919071E9,776110,776759
776662,41.88327,-87.79434,1.301919071E9,776110,776759
776662,41.8816,-87.79431,1.301919071E9,776110,776759
776662,41.88038,-87.79427,1.301919071E9,776110,776759
776662,41.87984,-87.79424,1.301919071E9,776110,776759
776662,41.87984,-87.79424,1.301919071E9,776110,776759
776662,41.88038,-87.79427,1.301919071E9,776110,776759
776662,41.8816,-87.79431,1.301919071E9,776110,776759
776662,41.88327,-87.79434,1.301919071E9,776110,776759
776662,41.88346,-87.79435,1.301919071E9,776110,776759
776662,41.88371,-87.79436,1.301919071E9,776110,776759
776662,41.87949,-87.626076,1.301919071E9,776110,776759
776662,41.878242,-87.62617,1.301919071E9,776110,776759
776662,41.878212,-87.62973,1.301919071E9,776110,776759
776662,41.884186,-87.79441,1.301919071E9,776110,776759
776662,41.88386,-87.7938,1.301919071E9,776110,776759
776662,41.88426,-87.79386,1.301919071E9,776110,776759
776662,41.884464,-87.79421,1.301919071E9,776110,776759
776662,41.88465,-87.79434,1.301919071E9,776110,776759
776662,41.884808,-87.794395,1.301919071E9,776110,776759
