.00989,-118.49291,1.301919071E9,776110,776759
776662,34.000973,-118.48374,1.301919071E9,776110,776759
776662,34.00089,-118.48367,1.301919071E9,776110,776759
776662,34.00081,-118.48363,1.301919071E9,776110,776759
776662,34.000732,-118.48355,1.301919071E9,776110,776759
776662,34.00064,-118.483475,1.301919071E9,776110,776759
776662,34.000553,-118.4834,1.301919071E9,776110,776759
776662,34.000465,-118.48333,1.301919071E9,776110,776759
776662,34.00039,-118.48326,1.301919071E9,776110,776759
776662,34.0003,-118.48319,1.301919071E9,776110,776759
776662,34.000206,-118.48313,1.301919071E9,776110,776759
776662,34.000114,-118.483055,1.301919071E9,776110,776759
776662,34.000015,-118.48296,1.301919071E9,776110,776759
776662,33.999924,-118.4829,1.301919071E9,776110,776759
776662,33.999836,-118.48285,1.301919071E9,776110,776759
776662,33.999737,-118.48277,1.301919071E9,776110,776759
776662,33.999657,-118.48272,1.301919071E9,776110,776759
776662,33.99958,-118.48266,1.301919071E9,776110,776759
776662,33.99948,-118.48258,1.301919071E9,776110,776759
776662,33.999405,-118.482506,1.301919071E9,776110,776759
776662,33.999332,-118.48244,1.301919071E9,776110,776759
776662,33.999252,-118.482346,1.301919071E9,776110,776759
776662,33.99919,-118.482254,1.301919071E9,776110,776759
776662,33.999146,-118.48213,1.301919071E9,776110,776759
776662,33.999065,-118.48205,1.301919071E9,776110,776759
776662,33.998962,-118.48209,1.301919071E9,776110,776759
776662,33.99888,-118.48216,1.301919071E9,776110,776759
776662,33.998802,-118.48226,1.301919071E9,776110,776759
776662,33.998737,-118.48237,1.301919071E9,776110,776759
776662,33.998676,-118.48248,1.301919071E9,776110,776759
776662,33.99865,-118.48262,1.301919071E9,77611
