5,-71.0971,1.301919071E9,776110,776759
776662,42.34889,-71.09711,1.301919071E9,776110,776759
776662,42.34889,-71.09709,1.301919071E9,776110,776759
776662,42.34892,-71.09688,1.301919071E9,776110,776759
776662,42.34897,-71.09654,1.301919071E9,776110,776759
776662,42.34897,-71.0965,1.301919071E9,776110,776759
776662,42.349,-71.09631,1.301919071E9,776110,776759
776662,42.34901,-71.09623,1.301919071E9,776110,776759
776662,42.34903,-71.09608,1.301919071E9,776110,776759
776662,42.34909,-71.09583,1.301919071E9,776110,776759
776662,42.34916,-71.09558,1.301919071E9,776110,776759
776662,42.34918,-71.0955,1.301919071E9,776110,776759
776662,42.34919,-71.09546,1.301919071E9,776110,776759
776662,42.34926,-71.09524,1.301919071E9,776110,776759
776662,42.34934,-71.095,1.301919071E9,776110,776759
776662,42.34944,-71.09469,1.301919071E9,776110,776759
776662,42.34971,-71.0937,1.301919071E9,776110,776759
776662,42.34978,-71.09352,1.301919071E9,776110,776759
776662,42.34983,-71.09341,1.301919071E9,776110,776759
776662,42.34987,-71.09334,1.301919071E9,776110,776759
776662,42.34989,-71.09322,1.301919071E9,776110,776759
776662,42.34994,-71.09285,1.301919071E9,776110,776759
776662,42.35004,-71.09248,1.301919071E9,776110,776759
776662,42.35006,-71.0924,1.301919071E9,776110,776759
776662,42.3501,-71.09228,1.301919071E9,776110,776759
776662,42.35012,-71.0922,1.301919071E9,776110,776759
776662,42.35014,-71.09212,1.301919071E9,776110,776759
776662,42.35019,-71.09191,1.301919071E9,776110,776759
776662,42.35026,-71.09164,1.301919071E9,776110,776759
776662,42.35085,-71.08949,1.301919071E9,776110,776759
776662,42.35153,-71.08698,1.301919071E9,776110,776759
776662,42.35193,-71.08549,1.301919071E9,776110,776759
776662,42.35245,-71.08353,1.301919071E9,776110,776759
776662,42.35307,-71.08129,1.301919071E9,776110,776759
776662,42.35313,-71.0811,1.301919071E9,776110,776759
776662,42.35366,-71.07908,1.301919071E9,776110,776759
776662,42.35422,-71.07696,1.301919071E9,776110,776759
776662,42.35415,-71.07692,1.301919071E9,776110,776759
776662,42.35415,-71.07692,1.301919071E9,776110,776759
776662,42.35382,-71.07676,1.301919071E9,776110,776759
776662,42.35351,-71.07661,1.301919071E9,776110,776759
776662,42.35344,-71.07658,1.301919071E9,776110,776759
776662,42.35306,-71.07638,1.301919071E9,776110,776759
776662,42.35263,-71.07619,1.301919071E9,776110,776759
776662,42.35246,-71.07609,1.301919071E9,776110,776759
776662,42.35229,-71.07601,1.301919071E9,776110,776759
776662,42.35224,-71.07598,1.301919071E9,776110,776759
776662,42.35224,-71.07598,1.301919071E9,776110,776759
776662,42.35229,-71.07601,1.301919071E9,776110,776759
776662,42.3517,-71.07814,1.301919071E9,776110,776759
776662,42.35172,-71.07815,1.301919071E9,776110,776759
776662,42.35172,-71.07815,1.301919071E9,776110,776759
776662,42.3517,-71.07814,1.301919071E9,776110,776759
776662,42.35129,-71.07793,1.301919071E9,776110,776759
776662,42.3509,-71.07773,1.301919071E9,776110,776759
776662,42.3505,-71.07754,1.301919071E9,776110,776759
776662,42.35034,-71.07746,1.301919071E9,776110,776759
776662,42.35012,-71.07734,1.301919071E9,776110,776759
776662,42.35009,-71.07733,1.301919071E9,776110,776759
776662,42.35007,-71.07739,1.301919071E9,776110,776759
776662,42.35007,-71.07739,1.301919071E9,776110,776759
776662,42.34952,-71.07951,1.301919071E9,776110,776759
776662,42.34931,-71.08023,1.301919071E9,776110,776759
776662,42.34931,-71.08023,1.301919071E9,776110,776759
776662,42.34927,-71.08038,1.301919071E9,776110,776759
776662,42.34917,-71.08076,1.301919071E9,776110,776759
776662,42.34888,-71.08063,1.301919071E9,776110,776759
776662,42.34786,-71.08015,1.301919071E9,776110,776759
776662,42.34781,-71.08012,1.301919071E9,776110,776759
776662,42.34766,-71.08005,1.301919071E9,776110,776759
776662,42.34764,-71.08004,1.301919071E9,776110,776759
776662,42.34759,-71.08002,1.301919071E9,776110,776759
776662,42.34753,-71.07998,1.301919071E9,776110,776759
776662,42.34744,-71.07994,1.301919071E9,776110,776759
776662,42.349133,-71.08085,1.301919071E9,776110,776759
776662,42.34915,-71.08086,1.301919071E9,776110,776759
776662,42.34917,-71.08076,1.301919071E9,776110,776759
776662,42.34888,-71.08063,1.301919071E9,776110,776759
776662,42.34786,-71.08015,1.301919071E9,776110,776759
776662,42.34781,-71.08012,1.301919071E9,776110,776759
776662,42.34766,-71.08005,1.301919071E9,776110,776759
776662,42.34764,-71.08004,1.301919071E9,776110,776759
776662,42.34759,-71.08002,1.301919071E9,776110,776759
776662,42.34753,-71.07998,1.301919071E9,776110,776759
776662,42.34744,-71.07994,1.301919071E9,776110,776759
776662,42.34725,-71.07984,1.301919071E9,776110,776759
776662,42.34719,-71.0798,1.301919071E9,776110,776759
776662,42.34714,-71.07977,1.301919071E9,776110,776759
776662,42.34714,-71.07976,1.301919071E9,776110,776759
776662,42.34711,-71.07974,1.301919071E9,776110,776759
776662,42.34705,-71.0797,1.301919071E9,776110,776759
776662,42.347,-71.07976,1.301919071E9,776110,776759
776662,42.3461,-71.08092,1.301919071E9,776110,776759
776662,42.346,-71.08105,1.301919071E9,776110,776759
776662,42.34594,-71.08112,1.301919071E9,776110,776759
776662,42.34594,-71.08112,1.301919071E9,776110,776759
776662,42.3454,-71.08181,1.301919071E9,776110,776759
776662,42.34505,-71.08225,1.301919071E9,776110,776759
776662,42.34501,-71.0823,1.301919071E9,776110,776759
776662,42.34437,-71.08307,1.301919071E9,776110,776759
776662,42.34402,-71.0835,1.301919071E9,776110,776759
776662,42.34391,-71.08373,1.301919071E9,776110,776759
776662,42.34373,-71.08394,1.301919071E9,776110,776759
776662,42.34298,-71.08485,1.301919071E9,776110,776759
776662,42.34284,-71.08502,1.301919071E9,776110,776759
776662,42.34268,-71.08522,1.301919071E9,776110,776759
776662,42.342,-71.08605,1.301919071E9,776110,776759
776662,42.34186,-71.08614,1.301919071E9,776110,776759
776662,42.3415,-71.08658,1.301919071E9,776110,776759
776662,42.34132,-71.08685,1.301919071E9,776110,776759
776662,42.3412,-71.08707,1.301919071E9,776110,776759
