-33.427784,-70.66935,1.301919071E9,776110,776759
776662,-33.430565,-70.66127,1.301919071E9,776110,776759
776662,-33.4306,-70.66114,1.301919071E9,776110,776759
776662,-33.43065,-70.66103,1.301919071E9,776110,776759
776662,-33.430683,-70.66092,1.301919071E9,776110,776759
776662,-33.430695,-70.66079,1.301919071E9,776110,776759
776662,-33.430717,-70.660675,1.301919071E9,776110,776759
776662,-33.430725,-70.66057,1.301919071E9,776110,776759
776662,-33.43076,-70.66045,1.301919071E9,776110,776759
776662,-33.43077,-70.66033,1.301919071E9,776110,776759
776662,-33.430782,-70.66022,1.301919071E9,776110,776759
776662,-33.43078,-70.660095,1.301919071E9,776110,776759
776662,-33.430794,-70.65996,1.301919071E9,776110,776759
776662,-33.430836,-70.659836,1.301919071E9,776110,776759
776662,-33.430874,-70.65971,1.301919071E9,776110,776759
776662,-33.430916,-70.659615,1.301919071E9,776110,776759
776662,-33.430965,-70.65951,1.301919071E9,776110,776759
776662,-33.430973,-70.65939,1.301919071E9,776110,776759
776662,-33.431023,-70.65928,1.301919071E9,776110,776759
776662,-33.431072,-70.659164,1.301919071E9,776110,776759
776662,-33.43113,-70.65907,1.301919071E9,776110,776759
776662,-33.43118,-70.65897,1.301919071E9,776110,776759
776662,-33.43123,-70.65887,1.301919071E9,776110,776759
776662,-33.431213,-70.658745,1.301919071E9,776110,776759
776662,-33.431145,-70.658646,1.301919071E9,776110,776759
776662,-33.431072,-70.65857,1.301919071E9,776110,776759
776662,-33.430984,-70.658485,1.301919071E9,776110,776759
776662,-33.430973,-70.65836,1.301919071E9,776110,776759
776662,-33.431,-70.65825,1.301919071E9,776110,776759
776662,-33.431046,-70.65815,1.301919071E9,776110,776759
776662,-33.431095,-70.65805,1.301919071E9,776110,776759
776662,-33.431126,-70.65794,1.301919071E9,776110,776759
776662,-33.431133,-70.65782,1.301919071E9,776110,776759
776662,-33.431145,-70.657715,1.301919071E9,776110,776759
776662,-33.43119,-70.6576,1.301919071E9,7761
