776662,-37.87235,145.03418,1.301919071E9,776110,776759
776662,-37.872272,145.0341,1.301919071E9,776110,776759
776662,-37.872208,145.03401,1.301919071E9,776110,776759
776662,-37.872147,145.03392,1.301919071E9,776110,776759
776662,-37.872078,145.03383,1.301919071E9,776110,776759
776662,-37.872,145.03372,1.301919071E9,776110,776759
776662,-37.87192,145.03365,1.301919071E9,776110,776759
776662,-37.871826,145.03355,1.301919071E9,776110,776759
776662,-37.871742,145.03345,1.301919071E9,776110,776759
776662,-37.871666,145.03334,1.301919071E9,776110,776759
776662,-37.87158,145.03326,1.301919071E9,776110,776759
776662,-37.871487,145.03319,1.301919071E9,776110,776759
776662,-37.871403,145.03313,1.301919071E9,776110,776759
776662,-37.871315,145.03308,1.301919071E9,776110,776759
776662,-37.8712,145.03307,1.301919071E9,776110,776759
776662,-37.871082,145.03302,1.301919071E9,776110,776759
776662,-37.87099,145.03299,1.301919071E9,776110,776759
776662,-37.870895,145.03297,1.301919071E9,776110,776759
776662,-37.870792,145.03291,1.301919071E9,776110,776759
776662,-37.870724,145.0328,1.301919071E9,776110,776759
776662,-37.870693,145.03267,1.301919071E9,776110,776759
776662,-37.87067,145.03255,1.301919071E9,776110,776759
776662,-37.870647,145.03244,1.301919071E9,776110,776759
776662,-37.87062,145.0323,1.301919071E9,776110,776759
776662,-37.870605,145.03217,1.301919071E9,776110,776759
776662,-37.870598,145.03201,1.301919071E9,776110,776759
776662,-37.87059,145.03186,1.301919071E9,776110,776759
776662,-37.87057,145.03172,1.301919071E9,776110,776759
776662,-37.870556,145.0316,1.301919071E9,776110,776759
776662,-37.870544,145.03146,1.301919071E9,776110,776759
776662,-37.87052,145.0
