3293,2.333329,1.301919071E9,776110,776759
776662,48.86335,2.333182,1.301919071E9,776110,776759
776662,48.863384,2.333019,1.301919071E9,776110,776759
776662,48.863438,2.332883,1.301919071E9,776110,776759
776662,48.863487,2.332738,1.301919071E9,776110,776759
776662,48.863544,2.332615,1.301919071E9,776110,776759
776662,48.86359,2.332485,1.301919071E9,776110,776759
776662,48.86363,2.33235,1.301919071E9,776110,776759
776662,48.863647,2.332283,1.301919071E9,776110,776759
776662,48.863605,2.332126,1.301919071E9,776110,776759
776662,48.863564,2.332104,1.301919071E9,776110,776759
776662,48.863472,2.332043,1.301919071E9,776110,776759
776662,48.863377,2.331997,1.301919071E9,776110,776759
776662,48.86328,2.331914,1.301919071E9,776110,776759
776662,48.863186,2.331845,1.301919071E9,776110,776759
776662,48.86308,2.331781,1.301919071E9,776110,776759
776662,48.862988,2.331718,1.301919071E9,776110,776759
776662,48.862896,2.331649,1.301919071E9,776110,776759
776662,48.862816,2.331576,1.301919071E9,776110,776759
776662,48.862736,2.331489,1.301919071E9,776110,776759
776662,48.862644,2.331405,1.301919071E9,776110,776759
776662,48.862564,2.331343,1.301919071E9,776110,776759
776662,48.862484,2.331268,1.301919071E9,776110,776759
776662,48.8624,2.33118,1.301919071E9,776110,776759
776662,48.862312,2.331087,1.301919071E9,776110,776759
776662,48.862217,2.330998,1.301919071E9,776110,776759
776662,48.86214,2.330919,1.301919071E9,776110,776759
776662,48.86205,2.330818,1.301919071E9,776110,776759
776662,48.86197,2.330739,1.301919071E9,776110,776759
776662,48.86188,2.33066,1.301919071E9,776110,776759
776662,48.86179,2.330558,1.301919071E9,776110,776759
776662,48.861713,2.33047,1.301919071E9,776110,776759
776662,48.86162,2.330406,1.301919071E9,776110,776759
776662,48.861538,2.330344,1.301919071E9,776110,776759
776662,48.86144,2.330272,1.301919071E9,776110,776759
776662,48.86135,2.330214,1.301919071E9,776110,776759
776662,48.861256,2.330149,1.301919071E9,776110,776759
776662,48.86117,2.330075,1.301919071E9,776110,776759
776662,48.861134,2.330059,1.301919071E9,776110,776759
776662,48.861042,2.330023,1.301919071E9,776110,776759
776662,48.861015,2.329941,1.301919071E9,776110,776759
776662,48.860947,2.329845,1.301919071E9,776110,776759
776662,48.860916,2.329702,1.301919071E9,776110,776759
776662,48.86093,2.329542,1.301919071E9,776110,776759
776662,48.860973,2.32941,1.301919071E9,776110,776759
776662,48.861027,2.329288,1.301919071E9,776110,776759
776662,48.86107,2.329156,1.301919071E9,776110,776759
776662,48.861107,2.328995,1.301919071E9,776110,776759
776662,48.86115,2.32886,1.301919071E9,776110,776759
776662,48.8612,2.328742,1.301919071E9,776110,776759
776662,48.861248,2.328585,1.301919071E9,776110,776759
776662,48.861282,2.328457,1.301919071E9,776110,776759
776662,48.861324,2.32833,1.301919071E9,776110,776759
776662,48.861362,2.328203,1.301919071E9,776110,776759
776662,48.8614,2.328078,1.301919071E9,776110,776759
776662,48.86145,2.327931,1.301919071E9,776110,776759
776662,48.861496,2.327811,1.301919071E9,776110,776759
776662,48.86154,2.327679,1.301919071E9,776110,776759
776662,48.86159,2.327543,1.301919071E9,776110,776759
776662,48.861645,2.327405,1.301919071E9,776110,776759
776662,48.861687,2.327259,1.301919071E9,776110,776759
776662,48.86173,2.327136,1.301919071E9,776110,776759
776662,48.861763,2.326992,1.301919071E9,776110,776759
776662,48.861805,2.326848,1.301919071E9,776110,776759
776662,48.861847,2.326693,1.301919071E9,776110,776759
776662,48.861885,2.326549,1.301919071E9,776110,776759
776662,48.861942,2.326432,1.301919071E9,776110,776759
776662,48.861984,2.32631,1.301919071E9,776110,776759
776662,48.862038,2.32616,1.301919071E9,776110,776759
776662,48.862087,2.326021,1.301919071E9,776110,776759
776662,48.86215,2.325865,1.301919071E9,776110,776759
776662,48.862198,2.325736,1.301919071E9,776110,776759
776662,48.862225,2.325597,1.301919071E9,776110,776759
776662,48.862286,2.325488,1.301919071E9,776110,776759
776662,48.862347,2.325375,1.301919071E9,776110,776759
776662,48.862377,2.325245,1.301919071E9,776110,776759
776662,48.86232,2.325139,1.301919071E9,776110,776759
776662,48.862244,2.325048,1.301919071E9,776110,776759
776662,48.8622,2.324988,1.301919071E9,776110,776759
776662,48.86228,2.324984,1.301919071E9,776110,776759
776662,48.86233,2.324994,1.301919071E9,776110,776759
776662,48.862366,2.325038,1.301919071E9,776110,776759
776662,48.862434,2.324983,1.301919071E9,776110,776759
776662,48.862446,2.32495,1.301919071E9,776110,776759
776662,48.86248,2.324824,1.301919071E9,776110,776759
776662,48.86251,2.324683,1.301919071E9,776110,776759
776662,48.862564,2.324531,1.301919071E9,776110,776759
776662,48.86261,2.324403,1.301919071E9,776110,776759
776662,48.862644,2.324249,1.301919071E9,776110,776759
776662,48.86269,2.324129,1.301919071E9,776110,776759
776662,48.86274,2.323989,1.301919071E9,776110,776759
776662,48.862778,2.323848,1.301919071E9,776110,776759
776662,48.862827,2.323707,1.301919071E9,776110,776759
776662,48.862873,2.323572,1.301919071E9,776110,776759
776662,48.862923,2.323415,1.301919071E9,776110,776759
776662,48.86297,2.323277,1.301919071E9,776110,776759
776662,48.863007,2.323149,1.301919071E9,776110,776759
776662,48.86305,2.323008,1.301919071E9,776110,776759
776662,48.863094,2.322871,1.301919071E9,776110,776759
776662,48.863106,2.322734,1.301919071E9,776110,776759
776662,48.86314,2.322598,1.301919071E9,776110,776759
776662,48.86318,2.322469,1.301919071E9,776110,776759
776662,48.86323,2.322331,1.301919071E9,776110,776759
776662,48.86328,2.322202,1.301919071E9,776110,776759
776662,48.863335,2.32209,1.301919071E9,776110,776759
776662,48.863377,2.321957,1.301919071E9,776110,776759
776662,48.863415,2.321829,1.301919071E9,776110,776759
776662,48.86346,2.3217,1.301919071E9,776110,776759
776662,48.863503,2.321565,1.301919071E9,776110,776759
776662,48.86355,2.321438,1.301919071E9,776110,776759
776662,48.8636,2.321274,1.301919071E9,776110,776759
776662,48.86364,2.321141,1.301919071E9,776110,776759
776662,48.863678,2.321007,1.301919071E9,776110,776759
776662,48.863728,2.320881,1.301919071E9,776110,776759
776662,48.863777,2.320757,1.301919071E9,776110,776759
776662,48.863823,2.320614,1.301919071E9,776110,776759
776662,48.863873,2.320493,1.301919071E9,776110,776759
776662,48.86392,2.320345,1.301919071E9,776110,776759
776662,48.863968,2.320204,1.301919071E9,776110,776759
776662,48.86401,2.32008,1.301919071E9,776110,776759
776662,48.864056,2.319947,1.301919071E9,776110,776759
776662,48.864098,2.319824,1.301919071E9,776110,776759
