3941,-66.12061,1.301919071E9,776110,776759
776662,18.36395,-66.1208,1.301919071E9,776110,776759
776662,18.363958,-66.12097,1.301919071E9,776110,776759
776662,18.363955,-66.121056,1.301919071E9,776110,776759
776662,18.363949,-66.12123,1.301919071E9,776110,776759
776662,18.364002,-66.12156,1.301919071E9,776110,776759
776662,18.364016,-66.121735,1.301919071E9,776110,776759
776662,18.364002,-66.121925,1.301919071E9,776110,776759
776662,18.363997,-66.1221,1.301919071E9,776110,776759
776662,18.364014,-66.12227,1.301919071E9,776110,776759
776662,18.364073,-66.12243,1.301919071E9,776110,776759
776662,18.364145,-66.12258,1.301919071E9,776110,776759
776662,18.364159,-66.12259,1.301919071E9,776110,776759
776662,18.364313,-66.122574,1.301919071E9,776110,776759
776662,18.364466,-66.12259,1.301919071E9,776110,776759
776662,18.364532,-66.1226,1.301919071E9,776110,776759
776662,18.364672,-66.12267,1.301919071E9,776110,776759
776662,18.364689,-66.122734,1.301919071E9,776110,776759
776662,18.364704,-66.1229,1.301919071E9,776110,776759
776662,18.364777,-66.122986,1.301919071E9,776110,776759
776662,18.364935,-66.12301,1.301919071E9,776110,776759
776662,18.364992,-66.123,1.301919071E9,776110,776759
776662,18.365154,-66.122986,1.301919071E9,776110,776759
776662,18.36532,-66.12298,1.301919071E9,776110,776759
776662,18.365479,-66.122986,1.301919071E9,776110,776759
776662,18.365717,-66.122986,1.301919071E9,776110,776759
776662,18.365873,-66.122955,1.301919071E9,776110,776759
776662,18.36603,-66.12294,1.301919071E9,776110,776759
776662,18.366228,-66.12295,1.301919071E9,776110,776759
776662,18.366373,-66.12304,1.301919071E9,776110,776759
776662,18.36642,-66.1232,1.301919071E9,776110,776759
776662,18.366308,-66.12333,1.301919071E9,776110,776759
776662,18.366032,-66.123344,1.301919071E9,776110,776759
776662,18.365877,-66.12336,1.301919071E9,776110,776759
776662,18.365494,-66.12315,1.301919071E9,776110,776759
776662,18.36524,-66.1231,1.301919071E9,776110,776759
776662,18.365088,-66.12313,1.301919071E9,776110,776759
776662,18.36492,-66.12311,1.301919071E9,776110,776759
776662,18.364786,-66.12302,1.301919071E9,776110,776759
776662,18.364624,-66.122986,1.301919071E9,776110,776759
776662,18.364462,-66.12298,1.301919071E9,776110,776759
776662,18.364304,-66.12294,1.301919071E9,776110,776759
776662,18.36427,-66.12293,1.301919071E9,776110,776759
776662,18.364183,-66.122925,1.301919071E9,776110,776759
776662,18.364092,-66.122894,1.301919071E9,776110,776759
776662,18.364033,-66.12274,1.301919071E9,776110,776759
776662,18.364115,-66.1226,1.301919071E9,776110,776759
776662,18.364267,-66.12256,1.301919071E9,776110,776759
776662,18.364304,-66.12256,1.301919071E9,776110,776759
776662,18.364466,-66.12259,1.301919071E9,776110,776759
776662,18.364628,-66.122635,1.301919071E9,776110,776759
776662,18.364754,-66.12275,1.301919071E9,776110,776759
776662,18.364779,-66.12291,1.301919071E9,776110,776759
776662,18.364906,-66.123024,1.301919071E9,776110,776759
776662,18.36507,-66.12303,1.301919071E9,776110,776759
776662,18.365236,-66.12302,1.301919071E9,776110,776759
776662,18.365396,-66.12301,1.301919071E9,776110,776759
776662,18.365551,-66.122986,1.301919071E9,776110,776759
776662,18.365713,-66.12297,1.301919071E9,776110,776759
776662,18.365913,-66.12293,1.301919071E9,776110,776759
776662,18.365967,-66.12293,1.301919071E9,776110,776759
776662,18.366123,-66.12291,1.301919071E9,776110,776759
776662,18.366283,-66.12291,1.301919071E9,776110,776759
776662,18.366415,-66.12301,1.301919071E9,776110,776759
776662,18.366434,-66.12306,1.301919071E9,776110,776759
776662,18.366432,-66.12316,1.301919071E9,776110,776759
776662,18.366322,-66.12328,1.301919071E9,776110,776759
776662,18.366226,-66.123314,1.301919071E9,776110,776759
776662,18.36606,-66.123344,1.301919071E9,776110,776759
776662,18.365898,-66.12338,1.301919071E9,776110,776759
776662,18.365849,-66.12339,1.301919071E9,776110,776759
776662,18.365675,-66.123375,1.301919071E9,776110,776759
776662,18.365484,-66.123245,1.301919071E9,776110,776759
776662,18.36535,-66.12315,1.301919071E9,776110,776759
776662,18.365192,-66.12316,1.301919071E9,776110,776759
776662,18.365011,-66.12315,1.301919071E9,776110,776759
776662,18.364859,-66.123116,1.301919071E9,776110,776759
776662,18.3647,-66.12308,1.301919071E9,776110,776759
776662,18.364538,-66.123055,1.301919071E9,776110,776759
776662,18.364374,-66.123024,1.301919071E9,776110,776759
