02817,-91.59716,1.301919071E9,776110,776759
776662,42.02811,-91.597046,1.301919071E9,776110,776759
776662,42.028095,-91.59692,1.301919071E9,776110,776759
776662,42.028107,-91.59677,1.301919071E9,776110,776759
776662,42.028152,-91.59664,1.301919071E9,776110,776759
776662,42.028168,-91.596504,1.301919071E9,776110,776759
776662,42.028175,-91.59638,1.301919071E9,776110,776759
776662,42.028152,-91.59625,1.301919071E9,776110,776759
776662,42.028126,-91.59612,1.301919071E9,776110,776759
776662,42.0281,-91.59599,1.301919071E9,776110,776759
776662,42.028107,-91.59586,1.301919071E9,776110,776759
776662,42.0281,-91.5957,1.301919071E9,776110,776759
776662,42.028107,-91.59554,1.301919071E9,776110,776759
776662,42.0281,-91.595406,1.301919071E9,776110,776759
776662,42.02809,-91.59528,1.301919071E9,776110,776759
776662,42.02811,-91.59513,1.301919071E9,776110,776759
776662,42.02812,-91.595,1.301919071E9,776110,776759
776662,42.02812,-91.594864,1.301919071E9,776110,776759
776662,42.028126,-91.59471,1.301919071E9,776110,776759
776662,42.028103,-91.594574,1.301919071E9,776110,776759
776662,42.028095,-91.59443,1.301919071E9,776110,776759
776662,42.028126,-91.594284,1.301919071E9,776110,776759
776662,42.02811,-91.59416,1.301919071E9,776110,776759
776662,42.028088,-91.59404,1.301919071E9,776110,776759
776662,42.028057,-91.593895,1.301919071E9,776110,776759
776662,42.02807,-91.59376,1.301919071E9,776110,776759
776662,42.02807,-91.59363,1.301919071E9,776110,776759
776662,42.028126,-91.59352,1.301919071E9,776110,776759
776662,42.028156,-91.5934,1.301919071E9,776110,776759
776662,42.028187,-91.59327,1.301919071E9,776110,776759
776662,42.028206,-91.59315,1.301919071E9,776110,776759
776662,42.02819,-91.59302,1.301919071E9,776110,776759
776662,42.02819,-91.59287,1.301919071E9,776110,776759
776662,42.02823,-91.59275,1.301919071E9,776110,776759
776662,42.028244,-91.59262,1.301919071E9,776110,776759
776662,42.02818,-91.59252,1.301919071E9,776110,776759
776662,42.02817,-91.59239,1.301919071E9,776110,776759
776662,42.028175,-91.59226,1.301919071E9,776110,776759
776662,42.028202,-91.592125,1.301919071E9,776110,776759
776662,42.028168,-91.59199,1.301919071E9,776110,776759
776662,42.02816,-91.591866,1.301919071E9,776110,776759
776662,42.028187,-91.59173,1.301919071E9,776110,776759
776662,42.028156,-91.59161,1.301919071E9,776110,776759
776662,42.028137,-91.59149,1.301919071E9,776110,776759
776662,42.02814,-91.59137,1.301919071E9,776110,776759
776662,42.028183,-91.59124,1.301919071E9,776110,776759
776662,42.028194,-91.5911,1.301919071E9,776110,776759
776662,42.028183,-91.590965,1.301919071E9,776110,776759
776662,42.02816,-91.590836,1.301919071E9,776110,776759
776662,42.02816,-91.59071,1.301919071E9,776110,776759
776662,42.02813,-91.590576,1.301919071E9,776110,776759
776662,42.028114,-91.59044,1.301919071E9,776110,776759
776662,42.0281,-91.5903,1.301919071E9,776110,776759
776662,42.028126,-91.590164,1.301919071E9,776110,776759
776662,42.028088,-91.590034,1.301919071E9,776110,776759
776662,42.028088,-91.58991,1.301919071E9,776110,776759
776662,42.028095,-91.58979,1.301919071E9,776110,776759
776662,42.028107,-91.58966,1.301919071E9,776110,776759
776662,42.028107,-91.58954,1.301919071E9,776110,776759
776662,42.028103,-91.58941,1.301919071E9,776110,776759
776662,42.028095,-91.58926,1.301919071E9,776110,776759
776662,42.02809,-91.589134,1.301919071E9,776110,776759
776662,42.028088,-91.589005,1.301919071E9,776110,776759
776662,42.028053,-91.58889,1.301919071E9,776110,776759
776662,42.028034,-91.58877,1.301919071E9,776110,776759
776662,42.028057,-91.588646,1.301919071E9,776110,776759
776662,42.028034,-91.58852,1.301919071E9,776110,776759
776662,42.02803,-91.58836,1.301919071E9,776110,776759
776662,42.028053,-91.58824,1.301919071E9,776110,776759
776662,42.028053,-91.58811,1.301919071E9,776110,776759
776662,42.028076,-91.58798,1.301919071E9,776110,776759
776662,42.028072,-91.58786,1.301919071E9,776110,776759
776662,42.02801,-91.58776,1.301919071E9,776110,776759
776662,42.028008,-91.58762,1.301919071E9,776110,776759
776662,42.02802,-91.5875,1.301919071E9,776110,776759
776662,42.028046,-91.58738,1.301919071E9,776110,776759
776662,42.028053,-91.58725,1.301919071E9,776110,776759
776662,42.028088,-91.587105,1.301919071E9,776110,776759
776662,42.028038,-91.587,1.301919071E9,776110,776759
776662,42.027985,-91.58689,1.301919071E9,776110,776759
776662,42.027996,-91.586754,1.301919071E9,776110,776759
776662,42.027985,-91.586624,1.301919071E9,776110,776759
776662,42.02798,-91.586494,1.301919071E9,776110,776759
776662,42.027985,-91.58637,1.301919071E9,776110,776759
776662,42.02801,-91.58624,1.301919071E9,776110,776759
776662,42.028004,-91.58612,1.301919071E9,776110,776759
776662,42.02802,-91.585976,1.301919071E9,776110,776759
776662,42.027958,-91.585884,1.301919071E9,776110,776759
