,2.239103,1.301919071E9,776110,776759
776662,48.891968,2.238965,1.301919071E9,776110,776759
776662,48.892025,2.238819,1.301919071E9,776110,776759
776662,48.892075,2.238667,1.301919071E9,776110,776759
776662,48.892094,2.238512,1.301919071E9,776110,776759
776662,48.8921,2.238361,1.301919071E9,776110,776759
776662,48.892105,2.238213,1.301919071E9,776110,776759
776662,48.892124,2.238044,1.301919071E9,776110,776759
776662,48.89215,2.237895,1.301919071E9,776110,776759
776662,48.892185,2.237748,1.301919071E9,776110,776759
776662,48.89222,2.237617,1.301919071E9,776110,776759
776662,48.892246,2.237483,1.301919071E9,776110,776759
776662,48.89228,2.237327,1.301919071E9,776110,776759
776662,48.892323,2.237191,1.301919071E9,776110,776759
776662,48.89248,2.237057,1.301919071E9,776110,776759
776662,48.89259,2.237041,1.301919071E9,776110,776759
776662,48.8927,2.237024,1.301919071E9,776110,776759
776662,48.892788,2.236992,1.301919071E9,776110,776759
776662,48.89292,2.236709,1.301919071E9,776110,776759
776662,48.892925,2.236531,1.301919071E9,776110,776759
776662,48.892925,2.236377,1.301919071E9,776110,776759
776662,48.89293,2.236217,1.301919071E9,776110,776759
776662,48.892933,2.236072,1.301919071E9,776110,776759
776662,48.892914,2.235931,1.301919071E9,776110,776759
776662,48.89288,2.235737,1.301919071E9,776110,776759
776662,48.892857,2.235597,1.301919071E9,776110,776759
776662,48.89296,2.235516,1.301919071E9,776110,776759
776662,48.893066,2.235466,1.301919071E9,776110,776759
776662,48.89297,2.23536,1.301919071E9,776110,776759
776662,48.892704,2.235243,1.301919071E9,776110,776759
776662,48.892487,2.235131,1.301919071E9,776110,776759
776662,48.89241,2.235059,1.301919071E9,776110,776759
776662,48.892323,2.234959,1.301919071E9,776110,776759
776662,48.89226,2.234845,1.301919071E9,776110,776759
776662,48.89218,2.234964,1.301919071E9,776110,776759
776662,48.8922,2.235099,1.301919071E9,776110,776759
776662,48.89222,2.235311,1.301919071E9,776110,776759
776662,48.89221,2.235458,1.301919071E9,776110,776759
776662,48.892185,2.23561,1.301919071E9,776110,776759
776662,48.89215,2.235742,1.301919071E9,776110,776759
776662,48.89207,2.235844,1.301919071E9,776110,776759
776662,48.892002,2.235952,1.301919071E9,776110,776759
776662,48.891983,2.236093,1.301919071E9,776110,776759
776662,48.891975,2.236261,1.301919071E9,776110,776759
776662,48.892014,2.236426,1.301919071E9,776110,776759
776662,48.89203,2.23657,1.301919071E9,776110,776759
776662,48.892,2.236722,1.301919071E9,776110,776759
776662,48.891987,2.236887,1.301919071E9,776110,776759
776662,48.891968,2.237058,1.301919071E9,776110,776759
776662,48.891945,2.237227,1.301919071E9,776110,776759
776662,48.891926,2.237381,1.301919071E9,776110,776759
776662,48.891895,2.237516,1.301919071E9,776110,776759
776662,48.89185,2.237634,1.301919071E9,776110,776759
776662,48.8918,2.237762,1.301919071E9,776110,776759
776662,48.891743,2.237887,1.301919071E9,776110,776759
776662,48.891685,2.237999,1.301919071E9,776110,776759
776662,48.891644,2.238121,1.301919071E9,776110,776759
776662,48.8916,2.238248,1.301919071E9,776110,776759
776662,48.891563,2.238371,1.301919071E9,776110,776759
776662,48.891514,2.23849,1.301919071E9,776110,776759
776662,48.891464,2.238617,1.301919071E9,776110,776759
776662,48.891403,2.238752,1.301919071E9,776110,776759
776662,48.891335,2.238868,1.301919071E9,776110,776759
776662,48.891277,2.238983,1.301919071E9,776110,776759
776662,48.891235,2.239108,1.301919071E9,776110,776759
776662,48.891197,2.239239,1.301919071E9,776110,776759
776662,48.891163,2.239374,1.301919071E9,776110,776759
776662,48.891144,2.23952,1.301919071E9,776110,776759
776662,48.891174,2.23967,1.301919071E9,776110,776759
776662,48.891262,2.239759,1.301919071E9,776110,776759
776662,48.891346,2.239828,1.301919071E9,776110,776759
776662,48.89148,2.239912,1.301919071E9,776110,776759
776662,48.891582,2.23993,1.301919071E9,776110,776759
776662,48.891663,2.239844,1.301919071E9,776110,776759
776662,48.891716,2.239703,1.301919071E9,776110,776759
776662,48.89176,2.239575,1.301919071E9,776110,776759
776662,48.8918,2.239447,1.301919071E9,776110,776759
776662,48.891838,2.2393,1.301919071E9,776110,776759
776662,48.89187,2.239171,1.301919071E9,776110,776759
776662,48.89191,2.239043,1.301919071E9,776110,776759
776662,48.891968,2.238892,1.301919071E9,776110,776759
776662,48.892014,2.23876,1.301919071E9,776110,776759
776662,48.89205,2.238631,1.301919071E9,776110,776759
776662,48.892063,2.238476,1.301919071E9,776110,776759
776662,48.89207,2.238312,1.301919071E9,776110,776759
776662,48.892094,2.23815,1.301919071E9,776110,776759
776662,48.892117,2.237995,1.301919071E9,776110,776759
776662,48.89216,2.237749,1.301919071E9,776110,776759
776662,48.892185,2.237592,1.301919071E9,776110,776759
776662,48.892204,2.237455,1.301919071E9,776110,776759
776662,48.892242,2.2373,1.301919071E9,776110,776759
776662,48.89233,2.237141,1.301919071E9,776110,776759
776662,48.892387,2.237004,1.301919071E9,776110,776759
776662,48.892498,2.236952,1.301919071E9,776110,776759
776662,48.892597,2.236942,1.301919071E9,776110,776759
776662,48.89272,2.236911,1.301919071E9,776110,776759
776662,48.892773,2.236749,1.301919071E9,776110,776759
776662,48.89278,2.236574,1.301919071E9,776110,776759
776662,48.8928,2.236385,1.301919071E9,776110,776759
776662,48.892807,2.236248,1.301919071E9,776110,776759
776662,48.892807,2.236095,1.301919071E9,776110,776759
776662,48.892788,2.235954,1.301919071E9,776110,776759
776662,48.892765,2.235815,1.301919071E9,776110,776759
776662,48.892845,2.235677,1.301919071E9,776110,776759
776662,48.89298,2.235603,1.301919071E9,776110,776759
776662,48.893105,2.23554,1.301919071E9,776110,776759
776662,48.89306,2.235416,1.301919071E9,776110,776759
776662,48.892803,2.235246,1.301919071E9,776110,776759
776662,48.892567,2.235125,1.301919071E9,776110,776759
776662,48.892456,2.235089,1.301919071E9,776110,776759
776662,48.89238,2.235,1.301919071E9,776110,776759
776662,48.892303,2.234869,1.301919071E9,776110,776759
776662,48.89226,2.23474,1.301919071E9,776110,776759
776662,48.892216,2.23489,1.301919071E9,776110,776759
776662,48.89224,2.235047,1.301919071E9,776110,776759
776662,48.892246,2.235189,1.301919071E9,776110,776759
776662,48.892246,2.235356,1.301919071E9,776110,776759
776662,48.892242,2.235494,1.301919071E9,776110,776759
776662,48.89221,2.235631,1.301919071E9,776110,776759
776662,48.892174,2.235779,1.301919071E9,776110,776759
776662,48.892124,2.235904,1.301919071E9,776110,776759
776662,48.892025,2.235919,1.301919071E9,776110,776759
776662,48.89198,2.236043,1.301919071E9,776110,776759
776662,48.891968,2.236183,1.301919071E9,776110,776759
776662,48.891964,2.236347,1.301919071E9,776110,776759
776662,48.89198,2.236503,1.301919071E9,776110,776759
776662,48.891953,2.236677,1.301919071E9,776110,776759
776662,48.891872,2.236881,1.301919071E9,776110,776759
776662,48.89186,2.23703,1.301919071E9,776110,776759
776662,48.891865,2.237171,1.301919071E9,776110,776759
776662,48.891865,2.237333,1.301919071E9,776110,776759
776662,48.891857,2.23748,1.301919071E9,776110,776759
776662,48.89181,2.237675,1.301919071E9,776110,776759
776662,48.89176,2.237826,1.301919071E9,776110,776759
776662,48.89171,2.237944,1.301919071E9,776110,776759
776662,48.891663,2.238083,1.301919071E9,776110,776759
776662,48.891605,2.23822,1.301919071E9,776110,776759
776662,48.891525,2.238405,1.301919071E9,776110,776759
776662,48.891483,2.238532,1.301919071E9,776110,776759
776662,48.89143,2.238666,1.301919071E9,776110,776759
776662,48.89135,2.2388,1.301919071E9,776110,776759
776662,48.891285,2.238919,1.301919071E9,776110,776759
776662,48.89124,2.239041,1.301919071E9,776110,776759
776662,48.891205,2.239167,1.301919071E9,776110,776759
776662,48.891163,2.239308,1.301919071E9,776110,776759
776662,48.891064,2.239501,1.301919071E9,776110,776759
776662,48.89109,2.23965,1.301919071E9,776110,776759
776662,48.891174,2.239731,1.301919071E9,776110,776759
776662,48.891277,2.239792,1.301919071E9,776110,776759
776662,48.89138,2.239849,1.301919071E9,776110,776759
7766
