.43825,5.482849,1.301919071E9,776110,776759
776662,51.43823,5.482692,1.301919071E9,776110,776759
776662,51.43818,5.48254,1.301919071E9,776110,776759
776662,51.438137,5.482391,1.301919071E9,776110,776759
776662,51.43813,5.482234,1.301919071E9,776110,776759
776662,51.438187,5.482111,1.301919071E9,776110,776759
776662,51.438267,5.482005,1.301919071E9,776110,776759
776662,51.43836,5.481912,1.301919071E9,776110,776759
776662,51.438454,5.481829,1.301919071E9,776110,776759
776662,51.438553,5.481753,1.301919071E9,776110,776759
776662,51.43865,5.481678,1.301919071E9,776110,776759
776662,51.438747,5.481604,1.301919071E9,776110,776759
776662,51.438843,5.481529,1.301919071E9,776110,776759
776662,51.438942,5.481448,1.301919071E9,776110,776759
776662,51.43904,5.481358,1.301919071E9,776110,776759
776662,51.43914,5.481264,1.301919071E9,776110,776759
776662,51.439236,5.481173,1.301919071E9,776110,776759
776662,51.43934,5.481073,1.301919071E9,776110,776759
776662,51.43944,5.48097,1.301919071E9,776110,776759
776662,51.439545,5.480896,1.301919071E9,776110,776759
776662,51.439648,5.480817,1.301919071E9,776110,776759
776662,51.439754,5.480728,1.301919071E9,776110,776759
776662,51.439857,5.480637,1.301919071E9,776110,776759
776662,51.439953,5.480547,1.301919071E9,776110,776759
776662,51.44004,5.480456,1.301919071E9,776110,776759
776662,51.44012,5.480357,1.301919071E9,776110,776759
776662,51.440193,5.480244,1.301919071E9,776110,776759
776662,51.440254,5.480112,1.301919071E9,776110,776759
776662,51.440292,5.479959,1.301919071E9,776110,776759
776662,51.44034,5.479808,1.301919071E9,776110,776759
776662,51.44038,5.479667,1.301919071E9,776110,776759
776662,51.440376,5.479517,1.301919071E9,776110,776759
776662,51.440323,5.479358,1.301919071E9,776110,776759
776662,51.440254,5.479219,1.301919071E9,776110,776759
776662,51.44019,5.479104,1.301919071E9,776110,776759
776662,51.440144,5.478933,1.301919071E9,776110,776759
776662,51.44006,5.478812,1.301919071E9,776110,776759
776662,51.43998,5.4787,1.301919071E9,776110,776759
776662,51.439903,5.478587,1.301919071E9,776110,776759
776662,51.439808,5.478478,1.301919071E9,776110,776759
776662,51.43971,5.478448,1.301919071E9,776110,776759
776662,51.43962,5.478445,1.301919071E9,776110,776759
776662,51.439514,5.478454,1.301919071E9,776110,776759
776662,51.43939,5.478488,1.301919071E9,776110,776759
776662,51.439274,5.47856,1.301919071E9,776110,776759
776662,51.43917,5.478615,1.301919071E9,776110,776759
776662,51.43908,5.478661,1.301919071E9,776110,776759
776662,51.43897,5.478736,1.301919071E9,776110,776759
776662,51.438896,5.478818,1.301919071E9,776110,776759
776662,51.438812,5.478927,1.301919071E9,776110,776759
776662,51.438725,5.47901,1.301919071E9,776110,776759
776662,51.438644,5.479125,1.301919071E9,776110,776759
776662,51.438572,5.479232,1.301919071E9,776110,776759
776662,51.438496,5.479328,1.301919071E9,776110,776759
776662,51.43842,5.479444,1.301919071E9,776110,776759
776662,51.43834,5.479543,1.301919071E9,776110,776759
776662,51.438244,5.479615,1.301919071E9,776110,776759
776662,51.438133,5.479704,1.301919071E9,776110,776759
776662,51.438034,5.479806,1.301919071E9,776110,776759
776662,51.437943,5.479903,1.301919071E9,776110,776759
776662,51.43785,5.480003,1.301919071E9,776110,776759
776662,51.43776,5.480106,1.301919071E9,776110,776759
776662,51.437664,5.4802,1.301919071E9,776110,776759
776662,51.437572,5.480207,1.301919071E9,776110,776759
776662,51.437504,5.480082,1.301919071E9,776110,776759
776662,51.43743,5.479964,1.301919071E9,776110,776759
776662,51.437325,5.479956,1.301919071E9,776110,776759
776662,51.437218,5.480053,1.301919071E9,776110,776759
776662,51.437122,5.480179,1.301919071E9,776110,776759
776662,51.43702,5.480275,1.301919071E9,776110,776759
776662,51.43692,5.48037,1.301919071E9,776110,776759
776662,51.43684,5.480493,1.301919071E9,776110,776759
776662,51.436768,5.480627,1.301919071E9,776110,776759
776662,51.43671,5.480753,1.301919071E9,776110,776759
776662,51.43666,5.480878,1.301919071E9,776110,776759
