,38.711094,-90.4876,1.301919071E9,776110,776759
776662,38.711205,-90.487564,1.301919071E9,776110,776759
776662,38.711308,-90.48753,1.301919071E9,776110,776759
776662,38.711407,-90.48753,1.301919071E9,776110,776759
776662,38.7115,-90.48753,1.301919071E9,776110,776759
776662,38.71159,-90.487526,1.301919071E9,776110,776759
776662,38.711685,-90.48752,1.301919071E9,776110,776759
776662,38.71178,-90.48751,1.301919071E9,776110,776759
776662,38.7119,-90.48753,1.301919071E9,776110,776759
776662,38.711994,-90.48754,1.301919071E9,776110,776759
776662,38.712105,-90.48755,1.301919071E9,776110,776759
776662,38.712196,-90.48756,1.301919071E9,776110,776759
776662,38.71229,-90.487564,1.301919071E9,776110,776759
776662,38.712395,-90.48754,1.301919071E9,776110,776759
776662,38.7125,-90.487526,1.301919071E9,776110,776759
776662,38.712605,-90.48753,1.301919071E9,776110,776759
776662,38.7127,-90.4875,1.301919071E9,776110,776759
776662,38.7128,-90.48747,1.301919071E9,776110,776759
776662,38.712906,-90.48748,1.301919071E9,776110,776759
776662,38.713,-90.48748,1.301919071E9,776110,776759
776662,38.713116,-90.48749,1.301919071E9,776110,776759
776662,38.713223,-90.487495,1.301919071E9,776110,776759
776662,38.713333,-90.48751,1.301919071E9,776110,776759
776662,38.713436,-90.48753,1.301919071E9,776110,776759
776662,38.713528,-90.487564,1.301919071E9,776110,776759
776662,38.713627,-90.48758,1.301919071E9,776110,776759
776662,38.71372,-90.487595,1.301919071E9,776110,776759
776662,38.71381,-90.4876,1.301919071E9,776110,776759
776662,38.7139,-90.48761,1.301919071E9,776110,776759
776662,38.714027,-90.487625,1.301919071E9,776110,776759
776662,38.714138,-90.48763,1.301919071E9,776110,776759
776662,38.714245,-90.48764,1.301919071E9,776110,776759
776662,38.71434,-90.48765,1.301919071E9,776110,776759
776662,38.71444,-90.48767,1.301919071E9,776110,776759
776662,38.714546,-90.48771,1.301919071E9,776110,776759
776662,38.714653,-90.487755,1.301919071E9,776110,776759
776662,38.714756,-90.4878,1.301919071E9,776110,776759
776662,38.714855,-90.48786,1.301919071E9,776110,776759
776662,38.714947,-90.487946,1.301919071E9,776110,776759
776662,38.71504,-90.488014,1.301919071E9,776110,776759
776662,38.71513,-90.48805,1.301919071E9,776110,776759
776662,38.715218,-90.48808,1.301919071E9,776110,776759
776662,38.715332,-90.48808,1.301919071E9,776110,776759
776662,38.715443,-90.48807,1.301919071E9,776110,776759
776662,38.715553,-90.48809,1.301919071E9,776110,776759
776662,38.715584,-90.48821,1.301919071E9,776110,776759
776662,38.715553,-90.48834,1.301919071E9,776110,776759
776662,38.71552,-90.48848,1.301919071E9,776110,776759
776662,38.71549,-90.4886,1.301919071E9,776110,776759
776662,38.715446,-90.488716,1.301919071E9,776110,776759
776662,38.71542,-90.48884,1.301919071E9,776110,776759
776662,38.715405,-90.48897,1.301919071E9,776110,776759
776662,38.7154,-90.48908,1.301919071E9,776110,776759
776662,38.715397,-90.48923,1.301919071E9,776110,776759
776662,38.715405,-90.48936,1.301919071E9,776110,776759
776662,38.71541,-90.48949,1.301919071E9,776110,776759
776662,38.71544,-90.489624,1.301919071E9,776110,776759
776662,38.715458,-90.489746,1.301919071E9,776110,776759
776662,38.715477,-90.489876,1.301919071E9,776110,776759
776662,38.715504,-90.49,1.301919071E9,776110,776759
776662,38.715527,-90.49012,1.301919071E9,776110,776759
776662,38.715546,-90.49024,1.301919071E9,776110,776759
776662,38.715557,-90.49038,1.301919071E9,776110,776759
776662,38.715572,-90.49051,1.301919071E9,776110,776759
776662,38.71559,-90.49064,1.301919071E9,776110,776759
776662,38.715607,-90.49077,1.301919071E9,776110,776759
776662,38.71563,-90.49089,1.301919071E9,776110,776759
776662,38.715652,-90.491005,1.301919071E9,776110,776759
776662,38.715656,-90.49113,1.301919071E9,776110,776759
776662,38.71567,-90.49124,1.301919071E9,776110,776759
776662,38.715763,-90.49132,1.301919071E9,776110,776759
776662,38.715855,-90.49136,1.301919071E9,776110,776759
776662,38.715862,-90.49148,1.301919071E9,776110,776759
776662,38.715908,-90.49159,1.301919071E9,776110,776759
776662,38.71593,-90.49173,1.301919071E9,776110,776759
776662,38.715946,-90.49185,1.301919071E9,776110,776759
776662,38.715942,-90.491974,1.301919071E9,776110,776759
776662,38.715923,-90.49209,1.301919071E9,776110,776759
776662,38.7159,-90.49221,1.301919071E9,776110,776759
776662,38.715927,-90.492355,1.301919071E9,776110,776759
776662,38.715996,-90.49243,1.301919071E9,776110,776759
776662,38.716,-90.49257,1.301919071E9,776110,776759
776662,38.715977,-90.492676,1.301919071E9,776110,776759
776662,38.715885,-90.49274,1.301919071E9,776110,776759
776662,38.71582,-90.49263,1.301919071E9,776110,776759
776662,38.715816,-90.4925,1.301919071E9,776110,776759
776662,38.71581,-90.49238,1.301919071E9,776110,776759
776662,38.715805,-90.49223,1.301919071E9,776110,776759
776662,38.71579,-90.49211,1.301919071E9,776110,776759
776662,38.715775,-90.492,1.301919071E9,776110,776759
776662,38.715767,-90.491875,1.301919071E9,776110,776759
776662,38.715767,-90.49174,1.301919071E9,776110,776759
776662,38.715755,-90.4916,1.301919071E9,776110,776759
776662,38.71576,-90.49148,1.301919071E9,776110,776759
776662,38.71584,-90.4914,1.301919071E9,776110,776759
776662,38.715927,-90.491455,1.301919071E9,776110,776759
776662,38.71591,-90.49157,1.301919071E9,776110,776759
776662,38.715897,-90.49171,1.301919071E9,776110,776759
776662,38.7159,-90.491844,1.301919071E9,776110,776759
776662,38.715942,-90.491974,1.301919071E9,776110,776759
776662,38.71596,-90.4921,1.301919071E9,776110,776759
776662,38.715973,-90.49224,1.301919071E9,776110,776759
776662,38.71598,-90.49237,1.301919071E9,776110,776759
776662,38.71596,-90.49249,1.301919071E9,776110,776759
776662,38.71596,-90.49261,1.301919071E9,776110,776759
776662,38.715893,-90.49272,1.301919071E9,776110,776759
776662,38.715843,-90.49285,1.301919071E9,776110,776759
776662,38.715855,-90.492966,1.301919071E9,776110,776759
776662,38.71588,-90.49312,1.301919071E9,776110,776759
776662,38.715965,-90.49316,1.301919071E9,776110,776759
776662,38.716084,-90.49316,1.301919071E9,776110,776759
776662,38.71619,-90.493164,1.301919071E9,776110,776759
776662,38.716297,-90.493164,1.301919071E9,776110,776759
776662,38.716408,-90.493164,1.301919071E9,776110,776759
776662,38.71651,-90.49316,1.301919071E9,776110,776759
776662,38.716614,-90.49315,1.301919071E9,776110,776759
776662,38.716717,-90.49315,1.301919071E9,776110,776759
776662,38.71682,-90.49313,1.301919071E9,776110,776759
776662,38.716915,-90.4931,1.301919071E9,776110,776759
776662,38.717014,-90.49307,1.301919071E9,776110,776759
776662,38.71711,-90.49306,1.301919071E9,776110,776759
776662,38.71721,-90.49304,1.301919071E9,776110,776759
776662,38.71731,-90.49303,1.301919071E9,776110,776759
776662,38.71741,-90.493,1.301919071E9,776110,776759
776662,38.71751,-90.49297,1.301919071E9,776110,776759
776662,38.717606,-90.49295,1.301919071E9,776110,776759
776662,38.717705,-90.492935,1.301919071E9,776110,776759
776662,38.7178,-90.492905,1.301919071E9,776110,776759
776662,38.717903,-90.49288,1.301919071E9,776110,776759
776662,38.718006,-90.49286,1.301919071E9,776110,776759
776662,38.718105,-90.49283,1.301919071E9,776110,776759
776662,38.71821,-90.49281,1.301919071E9,776110,776759
776662,38.7183,-90.4928,1.301919071E9,776110,776759
776662,38.718403,-90.492805,1.301919071E9,776110,776759
776662,38.71851,-90.49282,1.301919071E9,776110,776759
776662,38.718616,-90.49285,1.301919071E9,776110,776759
776662,38.718723,-90.49289,1.301919071E9,776110,776759
776662,38.71883,-90.49292,1.301919071E9,776110,776759
776662,38.718933,-90.492935,1.301919071E9,776110,776759
776662,38.719032,-90.49295,1.301919071E9,776110,776759
776662,38.71913,-90.49295,1.301919071E9,776110,776759
776662,38.71923,-90.49295,1.301919071E9,776110,776759
776662,38.719334,-90.492935,1.301919071E9,776110,776759
776662,38.719444,-90.49293,1.301919071E9,776110,776759
776662,38.719547,-90.49288,1.301919071E9,776110,776759
776662,38.719646,-90.49284,1.301919071E9,776110,776759
776662,38.719746,-90.49282,1.301
