1.453625,5.494944,1.301919071E9,776110,776759
776662,51.45388,5.49497,1.301919071E9,776110,776759
776662,51.453964,5.494923,1.301919071E9,776110,776759
776662,51.454044,5.4948435,1.301919071E9,776110,776759
776662,51.454105,5.4946866,1.301919071E9,776110,776759
776662,51.454105,5.4945035,1.301919071E9,776110,776759
776662,51.454117,5.494326,1.301919071E9,776110,776759
776662,51.4541,5.49414,1.301919071E9,776110,776759
776662,51.454067,5.493966,1.301919071E9,776110,776759
776662,51.454,5.4937725,1.301919071E9,776110,776759
776662,51.453884,5.49371,1.301919071E9,776110,776759
776662,51.453815,5.493609,1.301919071E9,776110,776759
776662,51.45372,5.4935017,1.301919071E9,776110,776759
776662,51.45362,5.493515,1.301919071E9,776110,776759
776662,51.453568,5.4933476,1.301919071E9,776110,776759
776662,51.453487,5.4933004,1.301919071E9,776110,776759
776662,51.453445,5.493176,1.301919071E9,776110,776759
776662,51.453346,5.4930906,1.301919071E9,776110,776759
776662,51.453217,5.493043,1.301919071E9,776110,776759
776662,51.453117,5.4930563,1.301919071E9,776110,776759
776662,51.453022,5.493124,1.301919071E9,776110,776759
776662,51.452972,5.4932795,1.301919071E9,776110,776759
776662,51.452927,5.4933867,1.301919071E9,776110,776759
776662,51.452885,5.493501,1.301919071E9,776110,776759
776662,51.452873,5.493672,1.301919071E9,776110,776759
776662,51.452858,5.494108,1.301919071E9,776110,776759
776662,51.452995,5.4942703,1.301919071E9,776110,776759
776662,51.453133,5.494407,1.301919071E9,776110,776759
776662,51.453274,5.4945054,1.301919071E9,776110,776759
776662,51.453365,5.494614,1.301919071E9,776110,776759
776662,51.45345,5.4947286,1.301919071E9,776110,776759
776662,51.453537,5.4948373,1.301919071E9,776110,776759
776662,51.45362,5.494954,1.301919071E9,776110,776759
776662,51.45372,5.494985,1.301919071E9,776110,776759
776662,51.45381,5.494955,1.301919071E9,776110,776759
776662,51.4539,5.494915,1.301919071E9,776110,776759
776662,51.453983,5.4948645,1.301919071E9,776110,776759
776662,51.45406,5.4947524,1.301919071E9,776110,776759
776662,51.4541,5.4945593,1.301919071E9,776110,776759
776662,51.45411,5.494411,1.301919071E9,776110,776759
776662,51.45412,5.4942794,1.301919071E9,776110,776759
776662,51.45409,5.494099,1.301919071E9,776110,776759
776662,51.454052,5.4939613,1.301919071E9,776110,776759
776662,51.454014,5.4937963,1.301919071E9,776110,776759
776662,51.453953,5.4936743,1.301919071E9,776110,776759
776662,51.453865,5.4935946,1.301919071E9,776110,776759
776662,51.453735,5.4934855,1.301919071E9,776110,776759
776662,51.453617,5.4934464,1.301919071E9,776110,776759
776662,51.453457,5.493346,1.301919071E9,776110,776759
776662,51.453377,5.4932246,1.301919071E9,776110,776759
776662,51.45331,5.493139,1.301919071E9,776110,776759
776662,51.453217,5.4930363,1.301919071E9,776110,776759
776662,51.453102,5.49308,1.301919071E9,776110,776759
776662,51.45301,5.4931087,1.301919071E9,776110,776759
776662,51.452957,5.493236,1.301919071E9,776110,776759
776662,51.452908,5.493365,1.301919071E9,776110,776759
776662,51.452866,5.493655,1.301919071E9,776110,776759
776662,51.452892,5.4940476,1.301919071E9,776110,776759
776662,51.45295,5.49421,1.301919071E9,776110,776759
