1.557816,0.481784,1.301919071E9,776110,776759
776662,51.557865,0.481904,1.301919071E9,776110,776759
776662,51.557957,0.48197,1.301919071E9,776110,776759
776662,51.558044,0.482066,1.301919071E9,776110,776759
776662,51.55811,0.482183,1.301919071E9,776110,776759
776662,51.558178,0.482311,1.301919071E9,776110,776759
776662,51.558247,0.482433,1.301919071E9,776110,776759
776662,51.5583,0.482552,1.301919071E9,776110,776759
776662,51.55837,0.482683,1.301919071E9,776110,776759
776662,51.55842,0.48281,1.301919071E9,776110,776759
776662,51.558453,0.482946,1.301919071E9,776110,776759
776662,51.55849,0.483111,1.301919071E9,776110,776759
776662,51.55854,0.48326,1.301919071E9,776110,776759
776662,51.55858,0.483402,1.301919071E9,776110,776759
776662,51.558613,0.483559,1.301919071E9,776110,776759
776662,51.558655,0.483704,1.301919071E9,776110,776759
776662,51.558678,0.483854,1.301919071E9,776110,776759
776662,51.558723,0.484004,1.301919071E9,776110,776759
776662,51.55878,0.484135,1.301919071E9,776110,776759
776662,51.558815,0.484304,1.301919071E9,776110,776759
776662,51.558826,0.484451,1.301919071E9,776110,776759
776662,51.558853,0.484614,1.301919071E9,776110,776759
776662,51.5589,0.484756,1.301919071E9,776110,776759
776662,51.558937,0.484909,1.301919071E9,776110,776759
776662,51.558987,0.485056,1.301919071E9,776110,776759
776662,51.55902,0.485209,1.301919071E9,776110,776759
776662,51.559048,0.485348,1.301919071E9,776110,776759
776662,51.559113,0.485464,1.301919071E9,776110,776759
776662,51.55917,0.485591,1.301919071E9,776110,776759
776662,51.559227,0.485718,1.301919071E9,776110,776759
776662,51.559277,0.485864,1.301919071E9,776110,776759
776662,51.559315,0.485996,1.301919071E9,776110,776759
776662,51.559387,0.486116,1.301919071E9,776110,776759
776662,51.559456,0.486228,1.301919071E9,776110,776759
776662,51.559532,0.486337,1.301919071E9,776110,776759
776662,51.559586,0.486456,1.301919071E9,776110,776759
776662,51.559654,0.486577,1.301919071E9,776110,776759
776662,51.559696,0.486708,1.301919071E9,776110,776759
776662,51.559734,0.486845,1.301919071E9,776110,776759
776662,51.559807,0.486932,1.301919071E9,776110,776759
776662,51.5599,0.487022,1.301919071E9,776110,776759
776662,51.559982,0.487117,1.301919071E9,776110,776759
776662,51.560062,0.487219,1.301919071E9,776110,776759
776662,51.56015,0.487289,1.301919071E9,776110,776759
776662,51.560223,0.487382,1.301919071E9,776110,776759
776662,51.560295,0.487478,1.301919071E9,776110,776759
776662,51.560352,0.487602,1.301919071E9,776110,776759
776662,51.56042,0.487722,1.301919071E9,776110,776759
776662,51.56048,0.487836,1.301919071E9,776110,776759
776662,51.560513,0.487978,1.301919071E9,776110,776759
776662,51.56056,0.488125,1.301919071E9,776110,776759
776662,51.560608,0.488273,1.301919071E9,776110,776759
776662,51.560642,0.48843,1.301919071E9,776110,776759
776662,51.560677,0.488565,1.301919071E9,776110,776759
776662,51.560722,0.488711,1.301919071E9,776110,776759
776662,51.56078,0.488866,1.301919071E9,776110,776759
776662,51.56083,0.489016,1.301919071E9,776110,776759
776662,51.560875,0.489172,1.301919071E9,776110,776759
776662,51.56091,0.489313,1.301919071E9,776110,776759
776662,51.560936,0.489455,1.301919071E9,776110,776759
776662,51.560963,0.489594,1.301919071E9,776110,776759
776662,51.561005,0.489766,1.301919071E9,776110,776759
776662,51.561028,0.489931,1.301919071E9,776110,776759
776662,51.561047,0.490074,1.301919071E9,776110,776759
776662,51.56108,0.490213,1.301919071E9,776110,776759
776662,51.56111,0.490353,1.301919071E9,776110,776759
776662,51.561157,0.490484,1.301919071E9,776110,776759
776662,51.561195,0.490643,1.301919071E9,776110,776759
776662,51.56126,0.490785,1.301919071E9,776110,776759
776662,51.56133,0.490897,1.301919071E9,776110,776759
776662,51.561386,0.491038,1.301919071E9,776110,776759
776662,51.56144,0.491169,1.301919071E9,776110,776759
776662,51.56149,0.491293,1.301919071E9,776110,776759
776662,51.56154,0.491421,1.301919071E9,776110,776759
776662,51.56158,0.49156,1.301919071E9,776110,776759
776662,51.56161,0.491711,1.301919071E9,776110,776759
776662,51.561657,0.491851,1.301919071E9,776110,776759
776662,51.561718,0.491975,1.301919071E9,776110,776759
776662,51.561752,0.492135,1.301919071E9,776110,776759
776662,51.561775,0.492303,1.301919071E9,776110,776759
776662,51.561844,0.492425,1.301919071E9,776110,776759
776662,51.56189,0.49258,1.301919071E9,776110,776759
776662,51.56193,0.492719,1.301919071E9,776110,776759
776662,51.56193,0.492868,1.301919071E9,776110,776759
776662,51.56196,0.493038,1.301919071E9,776110,776759
776662,51.562004,0.493182,1.301919071E9,776110,776759
776662,51.56205,0.493355,1.301919071E9,776110,776759
776662,51.562084,0.493509,1.301919071E9,776110,776759
776662,51.562115,0.493649,1.301919071E9,776110,776759
776662,51.56214,0.493803,1.301919071E9,776110,776759
776662,51.562164,0.493959,1.301919071E9,776110,776759
776662,51.562164,0.494111,1.301919071E9,776110,776759
776662,51.562187,0.494278,1.301919071E9,776110,776759
776662,51.5622,0.494424,1.301919071E9,776110,776759
776662,51.562214,0.49459,1.301919071E9,776110,776759
776662,51.562237,0.494741,1.301919071E9,776110,776759
776662,51.562286,0.49487,1.301919071E9,776110,776759
776662,51.56235,0.49502,1.301919071E9,776110,776759
776662,51.562405,0.495147,1.301919071E9,776110,776759
776662,51.56246,0.495287,1.301919071E9,776110,776759
776662,51.562553,0.495277,1.301919071E9,776110,776759
776662,51.56265,0.495367,1.301919071E9,776110,776759
776662,51.5627,0.495499,1.301919071E9,776110,776759
776662,51.56276,0.495632,1.301919071E9,776110,776759
776662,51.5628,0.495767,1.301919071E9,776110,776759
776662,51.562866,0.495916,1.301919071E9,776110,776759
776662,51.562946,0.496062,1.301919071E9,776110,776759
776662,51.563,0.496192,1.301919071E9,776110,776759
776662,51.56305,0.496318,1.301919071E9,776110,776759
776662,51.56307,0.496463,1.301919071E9,776110,776759
776662,51.563084,0.496615,1.301919071E9,776110,776759
776662,51.563126,0.496744,1.301919071E9,776110,776759
776662,51.56315,0.496885,1.301919071E9,776110,776759
776662,51.563183,0.497032,1.301919071E9,776110,776759
776662,51.563194,0.497213,1.301919071E9,776110,776759
776662,51.56323,0.497365,1.301919071E9,776110,776759
776662,51.56327,0.497528,1.301919071E9,776110,776759
776662,51.56333,0.49764,1.301919071E9,776110,776759
776662,51.563366,0.497811,1.301919071E9,776110,776759
776662,51.563377,0.497964,1.301919071E9,776110,776759
776662,51.56342,0.498102,1.301919071E9,776110,776759
776662,51.563427,0.498265,1.301919071E9,776110,776759
776662,51.563435,0.498425,1.301919071E9,776110,776759
776662,51.56346,0.498585,1.301919071E9,776110,776759
776662,51.563503,0.498732,1.301919071E9,776110,776759
776662,51.563515,0.498889,1.301919071E9,776110,776759
776662,51.563526,0.499041,1.301919071E9,776110,776759
776662,51.56356,0.4992,1.301919071E9,776110,776759
776662,51.563595,0.499348,1.301919071E9,776110,776759
776662,51.563633,0.499483,1.301919071E9,776110,776759
776662,51.563686,0.499615,1.301919071E9,776110,776759
776662,51.563725,0.499749,1.301919071E9,776110,776759
776662,51.563763,0.499892,1.301919071E9,776110,776759
776662,51.563828,0.500031,1.301919071E9,776110,776759
776662,51.56388,0.500179,1.301919071E9,776110,776759
776662,51.563927,0.500325,1.301919071E9,776110,776759
776662,51.56397,0.500459,1.301919071E9,776110,776759
776662,51.56404,0.500553,1.301919071E9,776110,776759
776662,51.564137,0.500476,1.301919071E9,776110,776759
776662,51.56422,0.500534,1.301919071E9,776110,776759
776662,51.564217,0.500681,1.301919071E9,776110,776759
776662,51.56417,0.500811,1.301919071E9,776110,776759
776662,51.564175,0.500959,1.301919071E9,776110,776759
776662,51.564217,0.501098,1.301919071E9,776110,776759
776662,51.564262,0.501236,1.301919071E9,776110,776759
776662,51.564274,0.501395,1.301919071E9,776110,776759
776662,51.564186,0.501341,1.301919071E9,776110,776759
776662,51.564133,0.50122,1.301919071E9,776110,776759
776662,51.564083,0.501094,1.301919071E9,776110,776759
776662,51.564053,0.500935,1.301919071E9
