.859818,2.329693,1.301919071E9,776110,776759
776662,48.85991,2.329747,1.301919071E9,776110,776759
776662,48.860004,2.329798,1.301919071E9,776110,776759
776662,48.86009,2.329862,1.301919071E9,776110,776759
776662,48.860184,2.329916,1.301919071E9,776110,776759
776662,48.86027,2.329981,1.301919071E9,776110,776759
776662,48.86036,2.330039,1.301919071E9,776110,776759
776662,48.860443,2.330125,1.301919071E9,776110,776759
776662,48.86054,2.330205,1.301919071E9,776110,776759
776662,48.86064,2.330223,1.301919071E9,776110,776759
776662,48.860737,2.33017,1.301919071E9,776110,776759
776662,48.860817,2.330085,1.301919071E9,776110,776759
776662,48.860897,2.329961,1.301919071E9,776110,776759
776662,48.86095,2.329884,1.301919071E9,776110,776759
776662,48.861015,2.329974,1.301919071E9,776110,776759
776662,48.861107,2.329993,1.301919071E9,776110,776759
776662,48.86119,2.330047,1.301919071E9,776110,776759
776662,48.861282,2.330137,1.301919071E9,776110,776759
776662,48.861366,2.330203,1.301919071E9,776110,776759
776662,48.861473,2.330236,1.301919071E9,776110,776759
776662,48.861565,2.330284,1.301919071E9,776110,776759
776662,48.861668,2.330356,1.301919071E9,776110,776759
776662,48.86176,2.330402,1.301919071E9,776110,776759
776662,48.861855,2.330467,1.301919071E9,776110,776759
776662,48.861958,2.330551,1.301919071E9,776110,776759
776662,48.862045,2.330619,1.301919071E9,776110,776759
776662,48.86215,2.330679,1.301919071E9,776110,776759
776662,48.86225,2.330736,1.301919071E9,776110,776759
776662,48.86235,2.33075,1.301919071E9,776110,776759
776662,48.862446,2.330745,1.301919071E9,776110,776759
776662,48.862503,2.330621,1.301919071E9,776110,776759
776662,48.862576,2.330492,1.301919071E9,776110,776759
776662,48.862656,2.330361,1.301919071E9,776110,776759
776662,48.862762,2.330384,1.301919071E9,776110,776759
776662,48.862854,2.330437,1.301919071E9,776110,776759
776662,48.86296,2.330525,1.301919071E9,776110,776759
776662,48.863033,2.330632,1.301919071E9,776110,776759
776662,48.863094,2.33078,1.301919071E9,776110,776759
776662,48.863182,2.330824,1.301919071E9,776110,776759
776662,48.86327,2.330778,1.301919071E9,776110,776759
776662,48.86338,2.33084,1.301919071E9,776110,776759
776662,48.863476,2.330893,1.301919071E9,776110,776759
776662,48.863567,2.330925,1.301919071E9,776110,776759
776662,48.863636,2.3308,1.301919071E9,776110,776759
776662,48.86366,2.33064,1.301919071E9,776110,776759
776662,48.863697,2.330508,1.301919071E9,776110,776759
776662,48.86376,2.330358,1.301919071E9,776110,776759
776662,48.863773,2.330158,1.301919071E9,776110,776759
776662,48.863808,2.33002,1.301919071E9,776110,776759
776662,48.86386,2.329867,1.301919071E9,776110,776759
776662,48.863888,2.329722,1.301919071E9,776110,776759
776662,48.863937,2.329558,1.301919071E9,776110,776759
776662,48.863995,2.329419,1.301919071E9,776110,776759
776662,48.864067,2.329307,1.301919071E9,776110,776759
776662,48.864132,2.329132,1.301919071E9,776110,776759
776662,48.86419,2.328994,1.301919071E9,776110,776759
776662,48.86423,2.328859,1.301919071E9,776110,776759
776662,48.864307,2.328699,1.301919071E9,776110,776759
776662,48.86436,2.328571,1.301919071E9,776110,776759
776662,48.864407,2.328405,1.301919071E9,776110,776759
776662,48.864445,2.32828,1.301919071E9,776110,776759
776662,48.864487,2.328158,1.301919071E9,776110,776759
776662,48.86454,2.32804,1.301919071E9,776110,776759
776662,48.86459,2.327893,1.301919071E9,776110,776759
