.36084,-66.11579,1.301919071E9,776110,776759
776662,18.360865,-66.11597,1.301919071E9,776110,776759
776662,18.3609,-66.116135,1.301919071E9,776110,776759
776662,18.360947,-66.116295,1.301919071E9,776110,776759
776662,18.360933,-66.11647,1.301919071E9,776110,776759
776662,18.360943,-66.11657,1.301919071E9,776110,776759
776662,18.360956,-66.11666,1.301919071E9,776110,776759
776662,18.36101,-66.11682,1.301919071E9,776110,776759
776662,18.361027,-66.116875,1.301919071E9,776110,776759
776662,18.361036,-66.1169,1.301919071E9,776110,776759
776662,18.361076,-66.11699,1.301919071E9,776110,776759
776662,18.361107,-66.11706,1.301919071E9,776110,776759
776662,18.361145,-66.11715,1.301919071E9,776110,776759
776662,18.361153,-66.11717,1.301919071E9,776110,776759
776662,18.36119,-66.11733,1.301919071E9,776110,776759
776662,18.361233,-66.11751,1.301919071E9,776110,776759
776662,18.361282,-66.117676,1.301919071E9,776110,776759
776662,18.361355,-66.117836,1.301919071E9,776110,776759
776662,18.36142,-66.11799,1.301919071E9,776110,776759
776662,18.361477,-66.11817,1.301919071E9,776110,776759
776662,18.3615,-66.118256,1.301919071E9,776110,776759
776662,18.361532,-66.11836,1.301919071E9,776110,776759
776662,18.361559,-66.11847,1.301919071E9,776110,776759
776662,18.361574,-66.11854,1.301919071E9,776110,776759
776662,18.361603,-66.118645,1.301919071E9,776110,776759
776662,18.361633,-66.11873,1.301919071E9,776110,776759
776662,18.361664,-66.11882,1.301919071E9,776110,776759
776662,18.36172,-66.118996,1.301919071E9,776110,776759
776662,18.361782,-66.1192,1.301919071E9,776110,776759
776662,18.361826,-66.11937,1.301919071E9,776110,776759
776662,18.361897,-66.11964,1.301919071E9,776110,776759
776662,18.362114,-66.11973,1.301919071E9,776110,776759
776662,18.362276,-66.11968,1.301919071E9,776110,776759
776662,18.362482,-66.11963,1.301919071E9,776110,776759
776662,18.362644,-66.11968,1.301919071E9,776110,776759
776662,18.362804,-66.11972,1.301919071E9,776110,776759
776662,18.3629,-66.11971,1.301919071E9,776110,776759
776662,18.362988,-66.119705,1.301919071E9,776110,776759
776662,18.363075,-66.119705,1.301919071E9,776110,776759
776662,18.363108,-66.119705,1.301919071E9,776110,776759
776662,18.363283,-66.11971,1.301919071E9,776110,776759
776662,18.363447,-66.11973,1.301919071E9,776110,776759
776662,18.363613,-66.11974,1.301919071E9,776110,776759
776662,18.363766,-66.11977,1.301919071E9,776110,776759
776662,18.363829,-66.119835,1.301919071E9,776110,776759
776662,18.363913,-66.11999,1.301919071E9,776110,776759
776662,18.363914,-66.12016,1.301919071E9,776110,776759
776662,18.363928,-66.120346,1.301919071E9,776110,776759
776662,18.363937,-66.12053,1.301919071E9,776110,776759
776662,18.363941,-66.12072,1.301919071E9,776110,776759
776662,18.363943,-66.12075,1.301919071E9,776110,776759
776662,18.363955,-66.12095,1.301919071E9,776110,776759
776662,18.36396,-66.12104,1.301919071E9,776110,776759
776662,18.363972,-66.121216,1.301919071E9,776110,776759
776662,18.363972,-66.12139,1.301919071E9,776110,776759
776662,18.363962,-66.12157,1.301919071E9,776110,776759
776662,18.363968,-66.12175,1.301919071E9,776110,776759
776662,18.363962,-66.12194,1.301919071E9,776110,776759
776662,18.363953,-66.12211,1.301919071E9,776110,776759
776662,18.363953,-66.122284,1.301919071E9,776110,776759
776662,18.363949,-66.12247,1.301919071E9,776110,776759
776662,18.364105,-66.12256,1.301919071E9,776110,776759
776662,18.364273,-66.122574,1.301919071E9,776110,776759
776662,18.36445,-66.12261,1.301919071E9,776110,776759
776662,18.364538,-66.12263,1.301919071E9,776110,776759
776662,18.364658,-66.12275,1.301919071E9,776110,776759
776662,18.364676,-66.1228,1.301919071E9,776110,776759
776662,18.364697,-66.12291,1.301919071E9,776110,776759
776662,18.364729,-66.123,1.301919071E9,776110,776759
776662,18.364813,-66.123055,1.301919071E9,776110,776759
776662,18.364967,-66.12304,1.301919071E9,776110,776759
776662,18.364992,-66.12304,1.301919071E9,776110,776759
776662,18.365147,-66.12301,1.301919071E9,776110,776759
776662,18.365309,-66.12299,1.301919071E9,776110,776759
776662,18.365417,-66.12299,1.301919071E9,776110,776759
776662,18.365501,-66.12299,1.301919071E9,776110,776759
776662,18.365532,-66.12299,1.301919071E9,776110,776759
776662,18.365639,-66.12301,1.301919071E9,776110,776759
776662,18.365744,-66.123,1.301919071E9,776110,776759
776662,18.365877,-66.122986,1.301919071E9,776110,776759
776662,18.366055,-66.122955,1.301919071E9,776110,776759
776662,18.36608,-66.12295,1.301919071E9,776110,776759
776662,18.366241,-66.122925,1.301919071E9,776110,776759
776662,18.366383,-66.12299,1.301919071E9,776110,776759
776662,18.366451,-66.12316,1.301919071E9,776110,776759
776662,18.366385,-66.12332,1.301919071E9,776110,776759
776662,18.366219,-66.123375,1.301919071E9,776110,776759
776662,18.366177,-66.1234,1.301919071E9,776110,776759
776662,18.36601,-66.12341,1.301919071E9,776110,776759
776662,18.365948,-66.123405,1.301919071E9,776110,776759
776662,18.365847,-66.12341,1.301919071E9,776110,776759
776662,18.391895,-66.13877,1.301919071E9,776110,776759
776662,18.391901,-66.13895,1.301919071E9,776110,776759
776662,18.391903,-66.13894,1.301919071E9,776110,776759
776662,18.39175,-66.138916,1.301919071E9,776110,776759
776662,18.391617,-66.138824,1.301919071E9,776110,776759
776662,18.391516,-66.13869,1.301919071E9,776110,776759
776662,18.391409,-66.138504,1.301919071E9,776110,776759
776662,18.391375,-66.13839,1.301919071E9,776110,776759
776662,18.391344,-66.138214,1.301919071E9,776110,776759
776662,18.391308,-66.13809,1.301919071E9,776110,776759
776662,18.391207,-66.13796,1.301919071E9,776110,776759
776662,18.39109,-66.13782,1.301919071E9,776110,776759
776662,18.390972,-66.1377,1.301919071E9,776110,776759
776662,18.39058,-66.137474,1.301919071E9,776110,776759
776662,18.390514,-66.137436,1.301919071E9,776110,776759
776662,18.390356,-66.137344,1.301919071E9,776110,776759
776662,18.390175,-66.13727,1.301919071E9,776110,776759
776662,18.390013,-66.13721,1.301919071E9,776110,776759
776662,18.389544,-66.13725,1.301919071E9,776110,776759
776662,18.389061,-66.13729,1.301919071E9,776110,776759
776662,18.38862,-66.13739,1.301919071E9,776110,776759
776662,18.388203,-66.1375,1.301919071E9,776110,776759
776662,18.387754,-66.137596,1.301919071E9,776110,776759
776662,18.387283,-66.13764,1.301919071E9,776110,776759
776662,18.386854,-66.13771,1.301919071E9,776110,776759
776662,18.386435,-66.137856,1.301919071E9,776110,776759
776662,18.386019,-66.13801,1.301919071E9,776110,776759
776662,18.385838,-66.13749,1.301919071E9,776110,776759
776662,18.385454,-66.13724,1.301919071E9,776110,776759
776662,18.385025,-66.13714,1.301919071E9,776110,776759
776662,18.384588,-66.13701,1.301919071E9,776110,776759
