-37.871,145.02536,1.301919071E9,776110,776759
776662,-37.87083,145.03285,1.301919071E9,776110,776759
776662,-37.870743,145.03276,1.301919071E9,776110,776759
776662,-37.870693,145.03264,1.301919071E9,776110,776759
776662,-37.870663,145.03252,1.301919071E9,776110,776759
776662,-37.87064,145.03241,1.301919071E9,776110,776759
776662,-37.87062,145.03229,1.301919071E9,776110,776759
776662,-37.87061,145.03215,1.301919071E9,776110,776759
776662,-37.870598,145.032,1.301919071E9,776110,776759
776662,-37.870598,145.03186,1.301919071E9,776110,776759
776662,-37.870598,145.03172,1.301919071E9,776110,776759
776662,-37.870598,145.03159,1.301919071E9,776110,776759
776662,-37.8706,145.03145,1.301919071E9,776110,776759
776662,-37.870575,145.03131,1.301919071E9,776110,776759
776662,-37.87055,145.03117,1.301919071E9,776110,776759
776662,-37.870533,145.03105,1.301919071E9,776110,776759
776662,-37.870518,145.03094,1.301919071E9,776110,776759
776662,-37.870502,145.0308,1.301919071E9,776110,776759
776662,-37.870487,145.03069,1.301919071E9,776110,776759
776662,-37.87048,145.03056,1.301919071E9,776110,776759
776662,-37.87046,145.03046,1.301919071E9,776110,776759
776662,-37.870434,145.03033,1.301919071E9,776110,776759
776662,-37.870407,145.03023,1.301919071E9,776110,776759
776662,-37.870388,145.03009,1.301919071E9,776110,776759
776662,-37.870384,145.02997,1.301919071E9,776110,776759
776662,-37.87036,145.02985,1.301919071E9,776110,776759
776662,-37.87034,145.0297,1.301919071E9,776110,776759
776662,-37.870316,145.02957,1.301919071E9,776110,776759
776662,-37.87028,145.02939,1.301919071E9,776110,776759
776662,-37.87026,145.02925,1.301919071E9,776110,776759
776662,-37.870235,145.02911,1.301919071E9,776110,776759
776662,-37.87022,145.029,1.3019190
