,-122.44242,1.301919071E9,776110,776759
776662,37.729965,-122.44253,1.301919071E9,776110,776759
776662,37.729958,-122.442635,1.301919071E9,776110,776759
776662,37.72996,-122.44275,1.301919071E9,776110,776759
776662,37.72993,-122.44286,1.301919071E9,776110,776759
776662,37.729923,-122.44297,1.301919071E9,776110,776759
776662,37.729927,-122.44311,1.301919071E9,776110,776759
776662,37.729927,-122.443214,1.301919071E9,776110,776759
776662,37.729908,-122.44334,1.301919071E9,776110,776759
776662,37.72991,-122.44347,1.301919071E9,776110,776759
776662,37.729923,-122.44358,1.301919071E9,776110,776759
776662,37.72993,-122.443695,1.301919071E9,776110,776759
776662,37.729935,-122.4438,1.301919071E9,776110,776759
776662,37.729942,-122.443924,1.301919071E9,776110,776759
776662,37.729935,-122.44403,1.301919071E9,776110,776759
776662,37.729935,-122.44415,1.301919071E9,776110,776759
776662,37.729935,-122.44426,1.301919071E9,776110,776759
776662,37.729942,-122.44438,1.301919071E9,776110,776759
776662,37.729946,-122.444496,1.301919071E9,776110,776759
776662,37.729942,-122.44461,1.301919071E9,776110,776759
776662,37.729946,-122.44472,1.301919071E9,776110,776759
776662,37.72993,-122.44485,1.301919071E9,776110,776759
776662,37.72994,-122.44497,1.301919071E9,776110,776759
776662,37.729946,-122.445076,1.301919071E9,776110,776759
776662,37.729942,-122.4452,1.301919071E9,776110,776759
776662,37.729946,-122.4453,1.301919071E9,776110,776759
776662,37.729942,-122.44541,1.301919071E9,776110,776759
776662,37.729942,-122.445526,1.301919071E9,776110,776759
776662,37.72995,-122.44564,1.301919071E9,776110,776759
776662,37.72994,-122.44577,1.301919071E9,776110,776759
776662,37.72994,-122.445885,1.301919071E9,776110,776759
776662,37.729942,-122.44601,1.301919071E9,776110,776759
776662,37.72995,-122.44611,1.301919071E9,776110,776759
776662,37.729958,-122.44623,1.301919071E9,776110,776759
776662,37.729946,-122.44636,1.301919071E9,776110,776759
776662,37.72996,-122.44649,1.301919071E9,776110,776759
776662,37.729965,-122.446594,1.301919071E9,776110,776759
776662,37.72993,-122.44671,1.301919071E9,776110,776759
776662,37.729897,-122.44682,1.301919071E9,776110,776759
776662,37.72988,-122.44693,1.301919071E9,776110,776759
776662,37.72987,-122.44705,1.301919071E9,776110,776759
776662,37.72986,-122.44718,1.301919071E9,776110,776759
776662,37.729862,-122.44731,1.301919071E9,776110,776759
776662,37.72987,-122.447426,1.301919071E9,776110,776759
776662,37.729877,-122.44755,1.301919071E9,776110,776759
776662,37.729855,-122.44766,1.301919071E9,776110,776759
776662,37.729862,-122.44777,1.301919071E9,776110,776759
776662,37.729874,-122.44788,1.301919071E9,776110,776759
776662,37.729893,-122.448,1.301919071E9,776110,776759
776662,37.729893,-122.44812,1.301919071E9,776110,776759
776662,37.729877,-122.44823,1.301919071E9,776110,776759
776662,37.729874,-122.44834,1.301919071E9,776110,776759
776662,37.729866,-122.44844,1.301919071E9,776110,776759
776662,37.729847,-122.44855,1.301919071E9,776110,776759
776662,37.72985,-122.44865,1.301919071E9,776110,776759
776662,37.72988,-122.44875,1.301919071E9,776110,776759
776662,37.729786,-122.44879,1.301919071E9,776110,776759
776662,37.729706,-122.44879,1.301919071E9,776110,776759
776662,37.729618,-122.4488,1.301919071E9,776110,776759
776662,37.729538,-122.44879,1.301919071E9,776110,776759
776662,37.72945,-122.448814,1.301919071E9,776110,776759
776662,37.729366,-122.44883,1.301919071E9,776110,776759
776662,37.72927,-122.448814,1.301919071E9,776110,776759
776662,37.729187,-122.44884,1.301919071E9,776110,776759
776662,37.72909,-122.44883,1.301919071E9,776110,776759
776662,37.728996,-122.44883,1.301919071E9,776110,776759
776662,37.728905,-122.44884,1.301919071E9,776110,776759
776662,37.72881,-122.44884,1.301919071E9,776110,776759
776662,37.72872,-122.448845,1.301919071E9,776110,776759
776662,37.728634,-122.44884,1.301919071E9,776110,776759
776662,37.728546,-122.448906,1.301919071E9,776110,776759
776662,37.728462,-122.44895,1.301919071E9,776110,776759
776662,37.728447,-122.44907,1.301919071E9,776110,776759
776662,37.728455,-122.449196,1.301919071E9,776110,776759
776662,37.72846,-122.44931,1.301919071E9,776110,776759
776662,37.72847,-122.449425,1.301919071E9,776110,776759
776662,37.72847,-122.44953,1.301919071E9,776110,776759
776662,37.728466,-122.449646,1.301919071E9,776110,776759
776662,37.72845,-122.44975,1.301919071E9,776110,776759
776662,37.72845,-122.44988,1.301919071E9,776110,776759
776662,37.728455,-122.45001,1.301919071E9,776110,776759
776662,37.72845,-122.45014,1.301919071E9,776110,776759
776662,37.72845,-122.45027,1.301919071E9,776110,776759
776662,37.728455,-122.45038,1.301919071E9,776110,776759
776662,37.728424,-122.450485,1.301919071E9,776110,776759
776662,37.728436,-122.45061,1.301919071E9,776110,776759
776662,37.72844,-122.45072,1.301919071E9,776110,776759
776662,37.72844,-122.45083,1.301919071E9,776110,776759
776662,37.72843,-122.450966,1.301919071E9,776110,776759
776662,37.728455,-122.451065,1.301919071E9,776110,776759
776662,37.728535,-122.45109,1.301919071E9,776110,776759
776662,37.728645,-122.4511,1.301919071E9,776110,776759
776662,37.72874,-122.45109,1.301919071E9,776110,776759
776662,37.728832,-122.451126,1.301919071E9,776110,776759
776662,37.72893,-122.45111,1.301919071E9,776110,776759
776662,37.729027,-122.451096,1.301919071E9,776110,776759
776662,37.729115,-122.45109,1.301919071E9,776110,776759
776662,37.729206,-122.4511,1.301919071E9,776110,776759
776662,37.729298,-122.45111,1.301919071E9,776110,776759
776662,37.72938,-122.45112,1.301919071E9,776110,776759
776662,37.72948,-122.45112,1.301919071E9,776110,776759
776662,37.72956,-122.45111,1.301919071E9,776110,776759
776662,37.72966,-122.451096,1.301919071E9,776110,776759
776662,37.72974,-122.4511,1.301919071E9,776110,776759
776662,37.729828,-122.451096,1.301919071E9,776110,776759
776662,37.72991,-122.45108,1.301919071E9,776110,776759
776662,37.73001,-122.451096,1.301919071E9,776110,776759
776662,37.730103,-122.451096,1.301919071E9,776110,776759
776662,37.73019,-122.45108,1.301919071E9,776110,776759
776662,37.730286,-122.451096,1.301919071E9,776110,776759
776662,37.73037,-122.4511,1.301919071E9,776110,776759
776662,37.73047,-122.4511,1.301919071E9,776110,776759
776662,37.730553,-122.45111,1.301919071E9,776110,776759
776662,37.730644,-122.45112,1.301919071E9,776110,776759
776662,37.730644,-122.45124,1.301919071E9,776110,776759
776662,37.730644,-122.45136,1.301919071E9,776110,776759
776662,37.730648,-122.45147,1.301919071E9,776110,776759
776662,37.730637,-122.4516,1.301919071E9,776110,776759
776662,37.730637,-122.45173,1.301919071E9,776110,776759
776662,37.73064,-122.45184,1.301919071E9,776110,776759
776662,37.730644,-122.45197,1.301919071E9,776110,776759
776662,37.730648,-122.452095,1.301919071E9,776110,776759
776662,37.73064,-122.45221,1.301919071E9,776110,776759
776662,37.73064,-122.452324,1.301919071E9,776110,776759
776662,37.730648,-122.45245,1.301919071E9,776110,776759
776662,37.730633,-122.45257,1.301919071E9,776110,776759
776662,37.730618,-122.452675,1.301919071E9,776110,776759
776662,37.730625,-122.45279,1.301919071E9,776110,776759
776662,37.730644,-122.4529,1.301919071E9,776110,776759
776662,37.73064,-122.45302,1.301919071E9,776110,776759
776662,37.730637,-122.45312,1.301919071E9,776110,776759
776662,37.730637,-122.45323,1.301919071E9,776110,776759
776662,37.730618,-122.453354,1.301919071E9,776110,776759
776662,37.73053,-122.45336,1.301919071E9,776110,776759
776662,37.73044,-122.45336,1.301919071E9,776110,776759
776662,37.730347,-122.45337,1.301919071E9,776110,776759
776662,37.73025,-122.45339,1.301919071E9,776110,776759
776662,37.730167,-122.45339,1.301919071E9,776110,776759
776662,37.730057,-122.45339,1.301919071E9,776110,776759
776662,37.729973,-122.453384,1.301919071E9,776110,776759
776662,37.72989,-122.45337,1.301919071E9,776110,776759
776662,37.72984,-122.45328,1.301919071E9,776110,776759
776662,37.729828,-122.45315,1.301919071E9,776110,776759
776662,37.729836,-122.45302,1.301919071E9,7
