.55944,-122.48182,1.301919071E9,776110,776759
776662,45.55939,-122.4817,1.301919071E9,776110,776759
776662,45.559364,-122.48157,1.301919071E9,776110,776759
776662,45.559315,-122.4814,1.301919071E9,776110,776759
776662,45.559273,-122.481285,1.301919071E9,776110,776759
776662,45.55921,-122.48118,1.301919071E9,776110,776759
776662,45.55915,-122.48109,1.301919071E9,776110,776759
776662,45.559116,-122.48093,1.301919071E9,776110,776759
776662,45.559025,-122.48083,1.301919071E9,776110,776759
776662,45.558964,-122.48068,1.301919071E9,776110,776759
776662,45.558903,-122.480515,1.301919071E9,776110,776759
776662,45.558853,-122.4804,1.301919071E9,776110,776759
776662,45.558777,-122.48024,1.301919071E9,776110,776759
776662,45.55872,-122.48007,1.301919071E9,776110,776759
776662,45.558662,-122.47991,1.301919071E9,776110,776759
776662,45.558636,-122.47979,1.301919071E9,776110,776759
776662,45.5586,-122.479614,1.301919071E9,776110,776759
776662,45.55858,-122.479485,1.301919071E9,776110,776759
776662,45.558563,-122.47935,1.301919071E9,776110,776759
776662,45.558548,-122.47921,1.301919071E9,776110,776759
776662,45.55854,-122.47906,1.301919071E9,776110,776759
776662,45.55853,-122.478905,1.301919071E9,776110,776759
776662,45.55852,-122.478745,1.301919071E9,776110,776759
776662,45.558517,-122.47858,1.301919071E9,776110,776759
776662,45.55853,-122.478424,1.301919071E9,776110,776759
776662,45.558556,-122.47827,1.301919071E9,776110,776759
776662,45.55856,-122.478096,1.301919071E9,776110,776759
776662,45.558567,-122.47792,1.301919071E9,776110,776759
776662,45.558575,-122.47775,1.301919071E9,776110,776759
776662,45.558563,-122.47759,1.301919071E9,776110,776759
776662,45.558582,-122.47741,1.301919071E9,776110,776759
776662,45.55859,-122.47723,1.301919071E9,776110,776759
776662,45.5586,-122.47705,1.301919071E9,776110,776759
776662,45.558605,-122.47688,1.301919071E9,776110,776759
776662,45.558605,-122.47672,1.301919071E9,776110,776759
776662,45.558605,-122.47656,1.301919071E9,776110,776759
776662,45.55862,-122.4764,1.301919071E9,776110,776759
776662,45.558628,-122.47621,1.301919071E9,776110,776759
776662,45.558647,-122.47605,1.301919071E9,776110,776759
776662,45.558655,-122.475876,1.301919071E9,776110,776759
776662,45.558678,-122.47569,1.301919071E9,776110,776759
776662,45.55869,-122.475525,1.301919071E9,776110,776759
776662,45.558704,-122.47535,1.301919071E9,776110,776759
776662,45.558704,-122.475174,1.301919071E9,776110,776759
776662,45.558704,-122.47501,1.301919071E9,776110,776759
776662,45.55872,-122.474846,1.301919071E9,776110,776759
776662,45.558735,-122.47468,1.301919071E9,776110,776759
776662,45.558727,-122.474495,1.301919071E9,776110,776759
776662,45.55874,-122.47433,1.301919071E9,776110,776759
776662,45.558746,-122.47416,1.301919071E9,776110,776759
776662,45.558727,-122.473976,1.301919071E9,776110,776759
776662,45.558746,-122.473785,1.301919071E9,776110,776759
776662,45.558758,-122.4736,1.301919071E9,776110,776759
776662,45.558792,-122.473404,1.301919071E9,776110,776759
776662,45.55881,-122.47319,1.301919071E9,776110,776759
776662,45.558804,-122.473,1.301919071E9,776110,776759
776662,45.55882,-122.47283,1.301919071E9,776110,776759
776662,45.558826,-122.47265,1.301919071E9,776110,776759
776662,45.558826,-122.47246,1.301919071E9,776110,776759
