.600155,-122.62611,1.301919071E9,776110,776759
776662,45.600178,-122.62626,1.301919071E9,776110,776759
776662,45.60016,-122.62643,1.301919071E9,776110,776759
776662,45.60015,-122.626595,1.301919071E9,776110,776759
776662,45.60015,-122.62677,1.301919071E9,776110,776759
776662,45.600166,-122.62696,1.301919071E9,776110,776759
776662,45.60014,-122.62711,1.301919071E9,776110,776759
776662,45.60013,-122.62728,1.301919071E9,776110,776759
776662,45.60013,-122.62742,1.301919071E9,776110,776759
776662,45.600117,-122.62757,1.301919071E9,776110,776759
776662,45.600113,-122.62771,1.301919071E9,776110,776759
776662,45.60011,-122.62787,1.301919071E9,776110,776759
776662,45.60011,-122.62804,1.301919071E9,776110,776759
776662,45.600113,-122.62822,1.301919071E9,776110,776759
776662,45.60011,-122.628395,1.301919071E9,776110,776759
776662,45.6001,-122.62856,1.301919071E9,776110,776759
776662,45.600086,-122.62873,1.301919071E9,776110,776759
776662,45.600094,-122.62889,1.301919071E9,776110,776759
776662,45.600082,-122.62905,1.301919071E9,776110,776759
776662,45.60009,-122.629196,1.301919071E9,776110,776759
776662,45.600094,-122.62938,1.301919071E9,776110,776759
776662,45.600086,-122.62954,1.301919071E9,776110,776759
776662,45.600082,-122.62972,1.301919071E9,776110,776759
776662,45.600067,-122.62989,1.301919071E9,776110,776759
776662,45.600075,-122.63006,1.301919071E9,776110,776759
776662,45.600082,-122.630226,1.301919071E9,776110,776759
776662,45.60008,-122.63038,1.301919071E9,776110,776759
776662,45.600075,-122.63055,1.301919071E9,776110,776759
776662,45.600056,-122.6307,1.301919071E9,776110,776759
776662,45.600044,-122.63085,1.301919071E9,776110,776759
776662,45.600044,-122.631004,1.301919071E9,776110,776759
776662,45.600025,-122.631195,1.301919071E9,776110,776759
776662,45.60006,-122.631325,1.301919071E9,776110,776759
776662,45.60006,-122.63148,1.301919071E9,776110,776759
776662,45.600044,-122.63164,1.301919071E9,776110,776759
776662,45.60004,-122.631775,1.301919071E9,776110,776759
776662,45.600044,-122.63191,1.301919071E9,776110,776759
776662,45.600037,-122.63207,1.301919071E9,776110,776759
776662,45.60002,-122.63223,1.301919071E9,776110,776759
776662,45.600002,-122.632385,1.301919071E9,776110,776759
776662,45.599983,-122.632545,1.301919071E9,776110,776759
