14,2.339862,1.301919071E9,776110,776759
776662,48.84628,2.340003,1.301919071E9,776110,776759
776662,48.84636,2.340085,1.301919071E9,776110,776759
776662,48.846455,2.340174,1.301919071E9,776110,776759
776662,48.84655,2.340252,1.301919071E9,776110,776759
776662,48.84664,2.340299,1.301919071E9,776110,776759
776662,48.84676,2.34033,1.301919071E9,776110,776759
776662,48.846867,2.340322,1.301919071E9,776110,776759
776662,48.846992,2.340319,1.301919071E9,776110,776759
776662,48.847084,2.340301,1.301919071E9,776110,776759
776662,48.847206,2.340264,1.301919071E9,776110,776759
776662,48.847317,2.340204,1.301919071E9,776110,776759
776662,48.847397,2.340136,1.301919071E9,776110,776759
776662,48.847485,2.34004,1.301919071E9,776110,776759
776662,48.847565,2.339937,1.301919071E9,776110,776759
776662,48.84767,2.339868,1.301919071E9,776110,776759
776662,48.84778,2.339789,1.301919071E9,776110,776759
776662,48.847862,2.339724,1.301919071E9,776110,776759
776662,48.847954,2.339676,1.301919071E9,776110,776759
776662,48.84804,2.339626,1.301919071E9,776110,776759
776662,48.848145,2.339555,1.301919071E9,776110,776759
776662,48.848225,2.339489,1.301919071E9,776110,776759
776662,48.848305,2.339375,1.301919071E9,776110,776759
776662,48.848377,2.339295,1.301919071E9,776110,776759
776662,48.84846,2.339206,1.301919071E9,776110,776759
776662,48.84855,2.339137,1.301919071E9,776110,776759
776662,48.848637,2.339051,1.301919071E9,776110,776759
776662,48.84871,2.338941,1.301919071E9,776110,776759
776662,48.848793,2.338841,1.301919071E9,776110,776759
776662,48.848866,2.338743,1.301919071E9,776110,776759
776662,48.848923,2.338634,1.301919071E9,776110,776759
776662,48.848907,2.338476,1.301919071E9,776110,776759
776662,48.848812,2.338425,1.301919071E9,776110,776759
776662,48.848717,2.338397,1.301919071E9,776110,776759
776662,48.84862,2.338378,1.301919071E9,776110,776759
776662,48.848507,2.338344,1.301919071E9,776110,776759
776662,48.848408,2.338306,1.301919071E9,776110,776759
776662,48.848305,2.338287,1.301919071E9,776110,776759
776662,48.8482,2.338272,1.301919071E9,776110,776759
776662,48.848087,2.33823,1.301919071E9,776110,776759
776662,48.84798,2.338195,1.301919071E9,776110,776759
776662,48.847893,2.338121,1.301919071E9,776110,776759
776662,48.847824,2.337994,1.301919071E9,776110,776759
776662,48.847813,2.337843,1.301919071E9,776110,776759
776662,48.84783,2.33768,1.301919071E9,776110,776759
776662,48.847843,2.337518,1.301919071E9,776110,776759
776662,48.847836,2.33734,1.301919071E9,776110,776759
776662,48.84785,2.337197,1.301919071E9,776110,776759
776662,48.847878,2.337047,1.301919071E9,776110,776759
776662,48.847897,2.336891,1.301919071E9,776110,776759
776662,48.847897,2.336752,1.301919071E9,776110,776759
776662,48.847908,2.336579,1.301919071E9,776110,776759
776662,48.84794,2.336432,1.301919071E9,776110,776759
776662,48.84799,2.336307,1.301919071E9,776110,776759
776662,48.848064,2.336191,1.301919071E9,776110,776759
776662,48.848083,2.336034,1.301919071E9,776110,776759
776662,48.84811,2.335858,1.301919071E9,776110,776759
776662,48.84813,2.335677,1.301919071E9,776110,776759
776662,48.848145,2.335525,1.301919071E9,776110,776759
776662,48.848164,2.335352,1.301919071E9,776110,776759
776662,48.848175,2.335196,1.301919071E9,776110,776759
776662,48.8482,2.335034,1.301919071E9,776110,776759
776662,48.848213,2.334894,1.301919071E9,776110,776759
