.786016,-80.12906,1.301919071E9,776110,776759
776662,25.786116,-80.12901,1.301919071E9,776110,776759
776662,25.78621,-80.128975,1.301919071E9,776110,776759
776662,25.786299,-80.12895,1.301919071E9,776110,776759
776662,25.786402,-80.12893,1.301919071E9,776110,776759
776662,25.786472,-80.128845,1.301919071E9,776110,776759
776662,25.786516,-80.12874,1.301919071E9,776110,776759
776662,25.786524,-80.128624,1.301919071E9,776110,776759
776662,25.786583,-80.12855,1.301919071E9,776110,776759
776662,25.786694,-80.128525,1.301919071E9,776110,776759
776662,25.786802,-80.128555,1.301919071E9,776110,776759
776662,25.786919,-80.12856,1.301919071E9,776110,776759
776662,25.787033,-80.12855,1.301919071E9,776110,776759
776662,25.787144,-80.128525,1.301919071E9,776110,776759
776662,25.787264,-80.12851,1.301919071E9,776110,776759
776662,25.787363,-80.1285,1.301919071E9,776110,776759
776662,25.78746,-80.128494,1.301919071E9,776110,776759
776662,25.787542,-80.128456,1.301919071E9,776110,776759
776662,25.78763,-80.12839,1.301919071E9,776110,776759
776662,25.787718,-80.12836,1.301919071E9,776110,776759
776662,25.787825,-80.12838,1.301919071E9,776110,776759
776662,25.78792,-80.12841,1.301919071E9,776110,776759
776662,25.788023,-80.128426,1.301919071E9,776110,776759
776662,25.788116,-80.12841,1.301919071E9,776110,776759
776662,25.788233,-80.1284,1.301919071E9,776110,776759
776662,25.788338,-80.128365,1.301919071E9,776110,776759
776662,25.788443,-80.12833,1.301919071E9,776110,776759
776662,25.788534,-80.12833,1.301919071E9,776110,776759
776662,25.78863,-80.12834,1.301919071E9,776110,776759
776662,25.788727,-80.128365,1.301919071E9,776110,776759
776662,25.788822,-80.12837,1.301919071E9,776110,776759
776662,25.78893,-80.12835,1.301919071E9,776110,776759
776662,25.789036,-80.12834,1.301919071E9,776110,776759
776662,25.789152,-80.12833,1.301919071E9,776110,776759
776662,25.789267,-80.1283,1.301919071E9,776110,776759
776662,25.789356,-80.12828,1.301919071E9,776110,776759
776662,25.789452,-80.128265,1.301919071E9,776110,776759
776662,25.789557,-80.12824,1.301919071E9,776110,776759
776662,25.789648,-80.12822,1.301919071E9,776110,776759
776662,25.789751,-80.1282,1.301919071E9,776110,776759
776662,25.789854,-80.12819,1.301919071E9,776110,776759
776662,25.789965,-80.12815,1.301919071E9,776110,776759
776662,25.79007,-80.128105,1.301919071E9,776110,776759
776662,25.790161,-80.128075,1.301919071E9,776110,776759
776662,25.790277,-80.12808,1.301919071E9,776110,776759
776662,25.790377,-80.128075,1.301919071E9,776110,776759
776662,25.790468,-80.12805,1.301919071E9,776110,776759
776662,25.79057,-80.128,1.301919071E9,776110,776759
776662,25.790655,-80.12796,1.301919071E9,776110,776759
776662,25.790752,-80.12794,1.301919071E9,776110,776759
776662,25.790855,-80.12794,1.301919071E9,776110,776759
776662,25.790949,-80.127945,1.301919071E9,776110,776759
776662,25.79104,-80.12797,1.301919071E9,776110,776759
776662,25.791145,-80.127975,1.301919071E9,776110,776759
776662,25.791256,-80.12795,1.301919071E9,776110,776759
776662,25.791372,-80.127914,1.301919071E9,776110,776759
776662,25.791485,-80.12788,1.301919071E9,776110,776759
776662,25.791592,-80.12784,1.301919071E9,776110,776759
776662,25.7917,-80.12778,1.301919071E9,776110,776759
776662,25.791792,-80.12775,1.301919071E9,776110,776759
776662,25.791899,-80.12773,1.301919071E9,776110,776759
776662,25.791988,-80.12769,1.301919071E9,776110,776759
776662,25.792088,-80.12764,1.301919071E9,776110,776759
776662,25.79218,-80.127625,1.301919071E9,776110,776759
776662,25.792278,-80.12765,1.301919071E9,776110,776759
776662,25.792381,-80.127686,1.301919071E9,776110,776759
776662,25.792484,-80.12771,1.301919071E9,776110,776759
776662,25.792582,-80.12769,1.301919071E9,776110,776759
776662,25.79267,-80.12767,1.301919071E9,776110,776759
776662,25.792776,-80.12764,1.301919071E9,776110,776759
776662,25.792887,-80.12763,1.301919071E9,776110,776759
776662,25.793003,-80.1276,1.301919071E9,776110,776759
776662,25.793097,-80.12758,1.301919071E9,776110,776759
776662,25.793203,-80.12755,1.301919071E9,776110,776759
776662,25.79331,-80.127525,1.301919071E9,776110,776759
776662,25.793402,-80.1275,1.301919071E9,776110,776759
776662,25.793509,-80.127464,1.301919071E9,776110,776759
