,-115.06087,1.301919071E9,776110,776759
776662,36.04516,-115.06098,1.301919071E9,776110,776759
776662,36.045074,-115.06114,1.301919071E9,776110,776759
776662,36.044994,-115.06131,1.301919071E9,776110,776759
776662,36.044956,-115.06142,1.301919071E9,776110,776759
776662,36.044895,-115.06162,1.301919071E9,776110,776759
776662,36.044823,-115.0618,1.301919071E9,776110,776759
776662,36.044758,-115.06197,1.301919071E9,776110,776759
776662,36.04471,-115.06215,1.301919071E9,776110,776759
776662,36.044674,-115.06228,1.301919071E9,776110,776759
776662,36.044662,-115.06239,1.301919071E9,776110,776759
776662,36.044647,-115.06259,1.301919071E9,776110,776759
776662,36.044636,-115.062836,1.301919071E9,776110,776759
776662,36.044594,-115.063034,1.301919071E9,776110,776759
776662,36.04454,-115.063156,1.301919071E9,776110,776759
776662,36.044426,-115.06331,1.301919071E9,776110,776759
776662,36.044228,-115.06344,1.301919071E9,776110,776759
776662,36.044037,-115.06352,1.301919071E9,776110,776759
776662,36.043915,-115.063644,1.301919071E9,776110,776759
776662,36.04385,-115.063736,1.301919071E9,776110,776759
776662,36.043797,-115.063835,1.301919071E9,776110,776759
776662,36.043736,-115.06401,1.301919071E9,776110,776759
776662,36.04371,-115.06412,1.301919071E9,776110,776759
776662,36.043655,-115.06425,1.301919071E9,776110,776759
776662,36.0436,-115.064354,1.301919071E9,776110,776759
776662,36.043533,-115.06454,1.301919071E9,776110,776759
776662,36.043495,-115.06465,1.301919071E9,776110,776759
776662,36.043465,-115.06477,1.301919071E9,776110,776759
776662,36.043373,-115.06493,1.301919071E9,776110,776759
776662,36.04328,-115.06511,1.301919071E9,776110,776759
776662,36.04323,-115.065285,1.301919071E9,776110,776759
776662,36.04319,-115.0655,1.301919071E9,776110,776759
776662,36.043163,-115.0657,1.301919071E9,776110,776759
776662,36.043137,-115.06589,1.301919071E9,776110,776759
776662,36.043118,-115.066,1.301919071E9,776110,776759
776662,36.043118,-115.06611,1.301919071E9,776110,776759
776662,36.04309,-115.06623,1.301919071E9,776110,776759
776662,36.043068,-115.06635,1.301919071E9,776110,776759
776662,36.043083,-115.06647,1.301919071E9,776110,776759
776662,36.04306,-115.066605,1.301919071E9,776110,776759
776662,36.04305,-115.066734,1.301919071E9,776110,776759
776662,36.04305,-115.06694,1.301919071E9,776110,776759
776662,36.04305,-115.06708,1.301919071E9,776110,776759
776662,36.04307,-115.0672,1.301919071E9,776110,776759
776662,36.043087,-115.06733,1.301919071E9,776110,776759
776662,36.04309,-115.06753,1.301919071E9,776110,776759
776662,36.043076,-115.067726,1.301919071E9,776110,776759
776662,36.043053,-115.06787,1.301919071E9,776110,776759
776662,36.04303,-115.067986,1.301919071E9,776110,776759
776662,36.043026,-115.068184,1.301919071E9,776110,776759
776662,36.043015,-115.068344,1.301919071E9,776110,776759
776662,36.042953,-115.068504,1.301919071E9,776110,776759
776662,36.042908,-115.068405,1.301919071E9,776110,776759
776662,36.04291,-115.068085,1.301919071E9,776110,776759
776662,36.0429,-115.06788,1.301919071E9,776110,776759
776662,36.042877,-115.067665,1.301919071E9,776110,776759
776662,36.042843,-115.06747,1.301919071E9,776110,776759
776662,36.04282,-115.06732,1.301919071E9,776110,776759
776662,36.042793,-115.067154,1.301919071E9,776110,776759
776662,36.042767,-115.0674,1.301919071E9,776110,776759
776662,36.0428,-115.06758,1.301919071E9,776110,776759
776662,36.042786,-115.06776,1.301919071E9,776110,776759
776662,36.042797,-115.06782,1.301919071E9,776110,776759
776662,36.042778,-115.06795,1.301919071E9,776110,776759
776662,36.042778,-115.06809,1.301919071E9,776110,776759
