,-80.38201,1.301919071E9,776110,776759
776662,25.826406,-80.382,1.301919071E9,776110,776759
776662,25.82618,-80.38192,1.301919071E9,776110,776759
776662,25.82618,-80.38182,1.301919071E9,776110,776759
776662,25.82618,-80.38168,1.301919071E9,776110,776759
776662,25.82618,-80.38155,1.301919071E9,776110,776759
776662,25.82618,-80.38143,1.301919071E9,776110,776759
776662,25.82618,-80.38132,1.301919071E9,776110,776759
776662,25.82618,-80.38115,1.301919071E9,776110,776759
776662,25.82618,-80.38103,1.301919071E9,776110,776759
776662,25.82618,-80.38092,1.301919071E9,776110,776759
776662,25.82618,-80.38081,1.301919071E9,776110,776759
776662,25.82618,-80.38069,1.301919071E9,776110,776759
776662,25.82618,-80.38059,1.301919071E9,776110,776759
776662,25.82618,-80.38048,1.301919071E9,776110,776759
776662,25.82618,-80.38038,1.301919071E9,776110,776759
776662,25.82618,-80.380264,1.301919071E9,776110,776759
776662,25.82618,-80.38014,1.301919071E9,776110,776759
776662,25.82618,-80.38001,1.301919071E9,776110,776759
776662,25.82618,-80.37989,1.301919071E9,776110,776759
776662,25.82618,-80.37974,1.301919071E9,776110,776759
776662,25.82618,-80.37964,1.301919071E9,776110,776759
776662,25.82618,-80.3795,1.301919071E9,776110,776759
776662,25.82618,-80.37939,1.301919071E9,776110,776759
776662,25.82618,-80.37926,1.301919071E9,776110,776759
776662,25.82618,-80.37913,1.301919071E9,776110,776759
776662,25.82618,-80.37901,1.301919071E9,776110,776759
776662,25.82618,-80.37888,1.301919071E9,776110,776759
776662,25.82618,-80.37877,1.301919071E9,776110,776759
776662,25.82618,-80.37865,1.301919071E9,776110,776759
776662,25.82618,-80.37852,1.301919071E9,776110,776759
776662,25.826181,-80.37841,1.301919071E9,776110,776759
776662,25.826181,-80.37828,1.301919071E9,776110,776759
776662,25.826181,-80.37814,1.301919071E9,776110,776759
776662,25.826181,-80.37802,1.301919071E9,776110,776759
776662,25.82618,-80.3779,1.301919071E9,776110,776759
776662,25.82618,-80.3777,1.301919071E9,776110,776759
776662,25.82618,-80.37757,1.301919071E9,776110,776759
776662,25.82618,-80.37746,1.301919071E9,776110,776759
776662,25.82618,-80.377335,1.301919071E9,776110,776759
776662,25.82618,-80.377174,1.301919071E9,776110,776759
776662,25.82618,-80.37707,1.301919071E9,776110,776759
